the_geom,cartodb_id,the_geom_webmercator,zip_code,partially_vaccinated,fully_vaccinated,etl_timestamp
NA,1,NA,19138,2262,10058,2021-07-01 17:20:02
NA,2,NA,19125,2274,12330,2021-07-01 17:20:02
NA,3,NA,19144,3290,14545,2021-07-01 17:20:02
NA,4,NA,19152,3483,14585,2021-07-01 17:20:02
NA,5,NA,19153,852,4238,2021-07-01 17:20:02
NA,6,NA,19133,2394,7567,2021-07-01 17:20:02
NA,7,NA,19126,1241,5645,2021-07-01 17:20:02
NA,8,NA,19119,2331,12098,2021-07-01 17:20:02
NA,9,NA,19120,6015,21438,2021-07-01 17:20:02
NA,10,NA,19128,3192,14772,2021-07-01 17:20:02
NA,11,NA,19104,4399,23344,2021-07-01 17:20:02
NA,12,NA,19127,474,2573,2021-07-01 17:20:02
NA,13,NA,19149,6950,20637,2021-07-01 17:20:02
NA,14,NA,19143,4338,22922,2021-07-01 17:20:02
NA,15,NA,19146,3280,20637,2021-07-01 17:20:02
NA,16,NA,19135,2393,10296,2021-07-01 17:20:02
NA,17,NA,19151,1918,9075,2021-07-01 17:20:02
NA,18,NA,19154,2156,12843,2021-07-01 17:20:02
NA,19,NA,19132,2498,9996,2021-07-01 17:20:02
NA,20,NA,19111,5484,24008,2021-07-01 17:20:02
NA,21,NA,19114,2163,12738,2021-07-01 17:20:02
NA,22,NA,19147,3821,21767,2021-07-01 17:20:02
NA,23,NA,19139,2795,13483,2021-07-01 17:20:02
NA,24,NA,19124,5414,20523,2021-07-01 17:20:02
NA,25,NA,19142,2164,8083,2021-07-01 17:20:02
NA,26,NA,19118,773,4362,2021-07-01 17:20:02
NA,27,NA,19122,1841,8626,2021-07-01 17:20:02
NA,28,NA,19123,2197,8596,2021-07-01 17:20:02
NA,29,NA,19130,3299,14078,2021-07-01 17:20:02
NA,30,NA,19116,2079,11425,2021-07-01 17:20:02
NA,31,NA,19129,1216,4797,2021-07-01 17:20:02
NA,32,NA,19140,4385,16158,2021-07-01 17:20:02
NA,33,NA,19134,4595,18081,2021-07-01 17:20:02
NA,34,NA,19145,4250,20993,2021-07-01 17:20:02
NA,35,NA,19121,2676,12246,2021-07-01 17:20:02
NA,36,NA,19107,1937,9163,2021-07-01 17:20:02
NA,37,NA,19150,1651,9006,2021-07-01 17:20:02
NA,38,NA,19131,2789,13592,2021-07-01 17:20:02
NA,39,NA,19102,721,3409,2021-07-01 17:20:02
NA,40,NA,19148,5512,25139,2021-07-01 17:20:02
NA,41,NA,19115,2576,14402,2021-07-01 17:20:02
NA,42,NA,19136,2863,12639,2021-07-01 17:20:02
NA,43,NA,19103,2504,14934,2021-07-01 17:20:02
NA,44,NA,19106,1606,6819,2021-07-01 17:20:02
NA,45,NA,19141,2181,9062,2021-07-01 17:20:02
NA,46,NA,19137,558,2844,2021-07-01 17:20:02
