the_geom,cartodb_id,the_geom_webmercator,zip_code,partially_vaccinated,fully_vaccinated,etl_timestamp
NA,1,NA,19138,2293,9821,2021-06-24 17:20:03
NA,2,NA,19125,2340,12167,2021-06-24 17:20:03
NA,3,NA,19144,3410,14191,2021-06-24 17:20:03
NA,4,NA,19152,3655,14160,2021-06-24 17:20:03
NA,5,NA,19153,879,4132,2021-06-24 17:20:03
NA,6,NA,19133,2704,6929,2021-06-24 17:20:03
NA,7,NA,19126,1265,5520,2021-06-24 17:20:03
NA,8,NA,19119,2457,11840,2021-06-24 17:20:03
NA,9,NA,19120,6309,20496,2021-06-24 17:20:03
NA,10,NA,19128,3263,14584,2021-06-24 17:20:03
NA,11,NA,19104,4459,23078,2021-06-24 17:20:03
NA,12,NA,19127,481,2556,2021-06-24 17:20:03
NA,13,NA,19149,6988,19896,2021-06-24 17:20:03
NA,14,NA,19143,4413,22412,2021-06-24 17:20:03
NA,15,NA,19146,3398,20331,2021-06-24 17:20:03
NA,16,NA,19135,2497,9910,2021-06-24 17:20:03
NA,17,NA,19151,1943,8880,2021-06-24 17:20:03
NA,18,NA,19154,2262,12586,2021-06-24 17:20:03
NA,19,NA,19132,2556,9715,2021-06-24 17:20:03
NA,20,NA,19111,5762,23173,2021-06-24 17:20:03
NA,21,NA,19114,2237,12482,2021-06-24 17:20:03
NA,22,NA,19147,3917,21530,2021-06-24 17:20:03
NA,23,NA,19139,2887,13134,2021-06-24 17:20:03
NA,24,NA,19124,5696,19512,2021-06-24 17:20:03
NA,25,NA,19142,2203,7817,2021-06-24 17:20:03
NA,26,NA,19118,808,4293,2021-06-24 17:20:03
NA,27,NA,19122,1957,8383,2021-06-24 17:20:03
NA,28,NA,19123,2211,8476,2021-06-24 17:20:03
NA,29,NA,19130,3344,13936,2021-06-24 17:20:03
NA,30,NA,19116,2106,11244,2021-06-24 17:20:03
NA,31,NA,19129,1258,4725,2021-06-24 17:20:03
NA,32,NA,19140,4538,15461,2021-06-24 17:20:03
NA,33,NA,19134,4934,17236,2021-06-24 17:20:03
NA,34,NA,19145,4376,20556,2021-06-24 17:20:03
NA,35,NA,19121,2759,11968,2021-06-24 17:20:03
NA,36,NA,19107,1980,9037,2021-06-24 17:20:03
NA,37,NA,19150,1694,8837,2021-06-24 17:20:03
NA,38,NA,19131,2899,13269,2021-06-24 17:20:03
NA,39,NA,19102,726,3375,2021-06-24 17:20:03
NA,40,NA,19148,5725,24597,2021-06-24 17:20:03
NA,41,NA,19115,2670,14124,2021-06-24 17:20:03
NA,42,NA,19136,2931,12292,2021-06-24 17:20:03
NA,43,NA,19103,2572,14818,2021-06-24 17:20:03
NA,44,NA,19106,1627,6756,2021-06-24 17:20:03
NA,45,NA,19141,2251,8784,2021-06-24 17:20:03
NA,46,NA,19137,609,2744,2021-06-24 17:20:03
