the_geom,cartodb_id,the_geom_webmercator,zip_code,partially_vaccinated,fully_vaccinated,etl_timestamp
NA,1,NA,19138,2313,9702,2021-06-21 17:20:02
NA,2,NA,19125,2370,12103,2021-06-21 17:20:02
NA,3,NA,19144,3380,14011,2021-06-21 17:20:02
NA,4,NA,19152,3704,13990,2021-06-21 17:20:02
NA,5,NA,19153,894,4088,2021-06-21 17:20:02
NA,6,NA,19133,2708,6865,2021-06-21 17:20:02
NA,7,NA,19126,1273,5475,2021-06-21 17:20:02
NA,8,NA,19119,2519,11715,2021-06-21 17:20:02
NA,9,NA,19120,6349,20189,2021-06-21 17:20:02
NA,10,NA,19128,3280,14498,2021-06-21 17:20:02
NA,11,NA,19104,4562,22884,2021-06-21 17:20:02
NA,12,NA,19127,486,2548,2021-06-21 17:20:02
NA,13,NA,19149,6948,19603,2021-06-21 17:20:02
NA,14,NA,19143,4466,22219,2021-06-21 17:20:02
NA,15,NA,19146,3429,20241,2021-06-21 17:20:02
NA,16,NA,19135,2479,9802,2021-06-21 17:20:02
NA,17,NA,19151,1975,8784,2021-06-21 17:20:02
NA,18,NA,19154,2337,12455,2021-06-21 17:20:02
NA,19,NA,19132,2592,9584,2021-06-21 17:20:02
NA,20,NA,19111,5759,22916,2021-06-21 17:20:02
NA,21,NA,19114,2298,12328,2021-06-21 17:20:02
NA,22,NA,19147,3949,21440,2021-06-21 17:20:02
NA,23,NA,19139,2938,12988,2021-06-21 17:20:02
NA,24,NA,19124,5694,19246,2021-06-21 17:20:02
NA,25,NA,19142,2189,7698,2021-06-21 17:20:02
NA,26,NA,19118,818,4269,2021-06-21 17:20:02
NA,27,NA,19122,1960,8316,2021-06-21 17:20:02
NA,28,NA,19123,2220,8434,2021-06-21 17:20:02
NA,29,NA,19130,3370,13864,2021-06-21 17:20:02
NA,30,NA,19116,2122,11149,2021-06-21 17:20:02
NA,31,NA,19129,1248,4698,2021-06-21 17:20:02
NA,32,NA,19140,4544,15269,2021-06-21 17:20:02
NA,33,NA,19134,4933,17018,2021-06-21 17:20:02
NA,34,NA,19145,4457,20369,2021-06-21 17:20:02
NA,35,NA,19121,2780,11877,2021-06-21 17:20:02
NA,36,NA,19107,2020,8980,2021-06-21 17:20:02
NA,37,NA,19150,1698,8762,2021-06-21 17:20:02
NA,38,NA,19131,2923,13170,2021-06-21 17:20:02
NA,39,NA,19102,747,3348,2021-06-21 17:20:02
NA,40,NA,19148,5769,24378,2021-06-21 17:20:02
NA,41,NA,19115,2686,14018,2021-06-21 17:20:02
NA,42,NA,19136,2928,12162,2021-06-21 17:20:02
NA,43,NA,19103,2621,14734,2021-06-21 17:20:02
NA,44,NA,19106,1637,6736,2021-06-21 17:20:02
NA,45,NA,19141,2267,8661,2021-06-21 17:20:02
NA,46,NA,19137,629,2711,2021-06-21 17:20:02
