the_geom,cartodb_id,the_geom_webmercator,zip_code,partially_vaccinated,fully_vaccinated,boosted,etl_timestamp
NA,1,NA,19138,2859,19101,8108,2022-07-25 11:00:01
NA,2,NA,19125,3914,17090,8599,2022-07-25 11:00:01
NA,3,NA,19144,4422,25457,11483,2022-07-25 11:00:01
NA,4,NA,19152,4665,23831,10279,2022-07-25 11:00:01
NA,5,NA,19153,1096,7876,3499,2022-07-25 11:00:01
NA,6,NA,19133,3145,14765,4990,2022-07-25 11:00:01
NA,7,NA,19126,1525,9853,4517,2022-07-25 11:00:01
NA,8,NA,19119,3240,19549,11814,2022-07-25 11:00:01
NA,9,NA,19120,7719,41740,15464,2022-07-25 11:00:01
NA,10,NA,19128,4506,25891,14404,2022-07-25 11:00:01
NA,11,NA,19104,8778,32540,15040,2022-07-25 11:00:01
NA,12,NA,19127,933,4137,2107,2022-07-25 11:00:01
NA,13,NA,19149,9771,38727,13171,2022-07-25 11:00:01
NA,14,NA,19143,6433,39800,17757,2022-07-25 11:00:01
NA,15,NA,19146,7006,31379,15910,2022-07-25 11:00:01
NA,16,NA,19135,3184,19275,6728,2022-07-25 11:00:01
NA,17,NA,19109,9,27,10,2022-07-25 11:00:01
NA,18,NA,19151,2691,18728,8321,2022-07-25 11:00:01
NA,19,NA,19154,2928,21389,9854,2022-07-25 11:00:01
NA,20,NA,19132,3506,19415,7466,2022-07-25 11:00:01
NA,21,NA,19111,7023,42178,17907,2022-07-25 11:00:01
NA,22,NA,19114,2892,20045,9635,2022-07-25 11:00:01
NA,23,NA,19147,7091,30956,17424,2022-07-25 11:00:01
NA,24,NA,19139,4207,25058,10387,2022-07-25 11:00:01
NA,25,NA,19124,7185,39760,13782,2022-07-25 11:00:01
NA,26,NA,19142,3192,17278,6057,2022-07-25 11:00:01
NA,27,NA,19118,1274,7334,4802,2022-07-25 11:00:01
NA,28,NA,19122,3020,13355,5209,2022-07-25 11:00:01
NA,29,NA,19123,3421,12328,5772,2022-07-25 11:00:01
NA,30,NA,19130,5725,20410,10678,2022-07-25 11:00:01
NA,31,NA,19116,3142,20192,9523,2022-07-25 11:00:01
NA,32,NA,19112,36,336,9,2022-07-25 11:00:01
NA,33,NA,19129,1521,7610,4192,2022-07-25 11:00:01
NA,34,NA,19113,15,43,14,2022-07-25 11:00:01
NA,35,NA,19140,5713,30680,10875,2022-07-25 11:00:01
NA,36,NA,19134,6556,32901,11325,2022-07-25 11:00:01
NA,37,NA,19145,5721,32423,15173,2022-07-25 11:00:01
NA,38,NA,19121,4122,21058,7415,2022-07-25 11:00:01
NA,39,NA,19107,3328,11984,6166,2022-07-25 11:00:01
NA,40,NA,19150,1987,15475,7933,2022-07-25 11:00:01
NA,41,NA,19131,4127,24938,11111,2022-07-25 11:00:01
NA,42,NA,19102,1556,4501,2440,2022-07-25 11:00:01
NA,43,NA,19148,7498,38594,17189,2022-07-25 11:00:01
NA,44,NA,19115,3472,23305,11392,2022-07-25 11:00:01
NA,45,NA,19136,3695,21911,8851,2022-07-25 11:00:01
NA,46,NA,19103,5816,19301,11414,2022-07-25 11:00:01
NA,47,NA,19106,2496,9169,5501,2022-07-25 11:00:01
NA,48,NA,19141,2821,17239,7002,2022-07-25 11:00:01
NA,49,NA,19137,824,4605,1831,2022-07-25 11:00:01
