the_geom,cartodb_id,the_geom_webmercator,zip_code,partially_vaccinated,fully_vaccinated,etl_timestamp
NA,1,NA,19138,2501,11197,2021-08-18 15:00:03
NA,2,NA,19125,2349,13024,2021-08-18 15:00:03
NA,3,NA,19144,3603,15971,2021-08-18 15:00:03
NA,4,NA,19152,3685,16257,2021-08-18 15:00:03
NA,5,NA,19153,943,4673,2021-08-18 15:00:03
NA,6,NA,19133,2418,8960,2021-08-18 15:00:03
NA,7,NA,19126,1314,6165,2021-08-18 15:00:03
NA,8,NA,19119,2391,12835,2021-08-18 15:00:03
NA,9,NA,19120,6363,24781,2021-08-18 15:00:03
NA,10,NA,19128,3031,15848,2021-08-18 15:00:03
NA,11,NA,19104,4585,24521,2021-08-18 15:00:03
NA,12,NA,19127,439,2712,2021-08-18 15:00:03
NA,13,NA,19149,7465,24370,2021-08-18 15:00:03
NA,14,NA,19143,4741,24960,2021-08-18 15:00:03
NA,15,NA,19146,3387,22336,2021-08-18 15:00:03
NA,16,NA,19135,2742,12085,2021-08-18 15:00:03
NA,17,NA,19151,2116,10014,2021-08-18 15:00:03
NA,18,NA,19154,2422,13683,2021-08-18 15:00:03
NA,19,NA,19132,2780,11366,2021-08-18 15:00:03
NA,20,NA,19111,5954,26988,2021-08-18 15:00:03
NA,21,NA,19114,2431,13699,2021-08-18 15:00:03
NA,22,NA,19147,3948,22818,2021-08-18 15:00:03
NA,23,NA,19139,3170,14875,2021-08-18 15:00:03
NA,24,NA,19124,5807,24128,2021-08-18 15:00:03
NA,25,NA,19142,2376,9380,2021-08-18 15:00:03
NA,26,NA,19118,731,4521,2021-08-18 15:00:03
NA,27,NA,19122,1942,9293,2021-08-18 15:00:03
NA,28,NA,19123,2269,9123,2021-08-18 15:00:03
NA,29,NA,19130,2963,15067,2021-08-18 15:00:03
NA,30,NA,19116,2333,12633,2021-08-18 15:00:03
NA,31,NA,19129,1175,5123,2021-08-18 15:00:03
NA,32,NA,19140,4620,18828,2021-08-18 15:00:03
NA,33,NA,19134,4980,20888,2021-08-18 15:00:03
NA,34,NA,19145,4519,23040,2021-08-18 15:00:03
NA,35,NA,19121,2995,13387,2021-08-18 15:00:03
NA,36,NA,19107,1933,9598,2021-08-18 15:00:03
NA,37,NA,19150,1828,9759,2021-08-18 15:00:03
NA,38,NA,19131,3005,14694,2021-08-18 15:00:03
NA,39,NA,19102,743,3512,2021-08-18 15:00:03
NA,40,NA,19148,5951,27497,2021-08-18 15:00:03
NA,41,NA,19115,2784,15701,2021-08-18 15:00:03
NA,42,NA,19136,3124,14244,2021-08-18 15:00:03
NA,43,NA,19103,2624,15307,2021-08-18 15:00:03
NA,44,NA,19106,1598,7040,2021-08-18 15:00:03
NA,45,NA,19141,2372,10134,2021-08-18 15:00:03
NA,46,NA,19137,803,3059,2021-08-18 15:00:03
