the_geom,cartodb_id,the_geom_webmercator,zip_code,partially_vaccinated,fully_vaccinated,etl_timestamp
NA,1,NA,19138,2609,12269,2021-10-04 15:00:01
NA,2,NA,19125,2345,13732,2021-10-04 15:00:01
NA,3,NA,19144,3703,17347,2021-10-04 15:00:01
NA,4,NA,19152,3586,17560,2021-10-04 15:00:01
NA,5,NA,19153,950,5089,2021-10-04 15:00:01
NA,6,NA,19133,2559,10104,2021-10-04 15:00:01
NA,7,NA,19126,1348,6620,2021-10-04 15:00:01
NA,8,NA,19119,2432,13436,2021-10-04 15:00:01
NA,9,NA,19120,6465,27850,2021-10-04 15:00:01
NA,10,NA,19128,3162,16742,2021-10-04 15:00:01
NA,11,NA,19104,5027,25776,2021-10-04 15:00:01
NA,12,NA,19127,452,2801,2021-10-04 15:00:01
NA,13,NA,19149,7170,27359,2021-10-04 15:00:01
NA,14,NA,19143,4991,26951,2021-10-04 15:00:01
NA,15,NA,19146,3594,24100,2021-10-04 15:00:01
NA,16,NA,19135,2666,13521,2021-10-04 15:00:01
NA,17,NA,19151,2133,10973,2021-10-04 15:00:01
NA,18,NA,19154,2336,14696,2021-10-04 15:00:01
NA,19,NA,19132,3032,12807,2021-10-04 15:00:01
NA,20,NA,19111,5651,29654,2021-10-04 15:00:01
NA,21,NA,19114,2336,14779,2021-10-04 15:00:01
NA,22,NA,19147,4051,23909,2021-10-04 15:00:01
NA,23,NA,19139,3469,16356,2021-10-04 15:00:01
NA,24,NA,19124,5862,27275,2021-10-04 15:00:01
NA,25,NA,19142,2463,10544,2021-10-04 15:00:01
NA,26,NA,19118,749,4633,2021-10-04 15:00:01
NA,27,NA,19122,2079,10504,2021-10-04 15:00:01
NA,28,NA,19123,2338,9733,2021-10-04 15:00:01
NA,29,NA,19130,3689,15802,2021-10-04 15:00:01
NA,30,NA,19116,2300,13689,2021-10-04 15:00:01
NA,31,NA,19129,1182,5335,2021-10-04 15:00:01
NA,32,NA,19140,4755,20959,2021-10-04 15:00:01
NA,33,NA,19134,5212,23240,2021-10-04 15:00:01
NA,34,NA,19145,4407,25038,2021-10-04 15:00:01
NA,35,NA,19121,3224,15497,2021-10-04 15:00:01
NA,36,NA,19107,2013,9902,2021-10-04 15:00:01
NA,37,NA,19150,1769,10487,2021-10-04 15:00:01
NA,38,NA,19131,3128,15875,2021-10-04 15:00:01
NA,39,NA,19102,828,3620,2021-10-04 15:00:01
NA,40,NA,19148,5592,29778,2021-10-04 15:00:01
NA,41,NA,19115,2635,16820,2021-10-04 15:00:01
NA,42,NA,19136,2962,15726,2021-10-04 15:00:01
NA,43,NA,19103,3066,15746,2021-10-04 15:00:01
NA,44,NA,19106,1778,7270,2021-10-04 15:00:01
NA,45,NA,19141,2488,11283,2021-10-04 15:00:01
NA,46,NA,19137,809,3411,2021-10-04 15:00:01
