the_geom,cartodb_id,the_geom_webmercator,zip_code,partially_vaccinated,fully_vaccinated,boosted,etl_timestamp
NA,1,NA,19138,2870,18437,7374,2022-04-02 15:00:02
NA,2,NA,19125,3636,16807,7956,2022-04-02 15:00:02
NA,3,NA,19144,4360,24617,10306,2022-04-02 15:00:02
NA,4,NA,19152,4638,23183,9341,2022-04-02 15:00:02
NA,5,NA,19153,1069,7575,3194,2022-04-02 15:00:02
NA,6,NA,19133,3075,14329,4352,2022-04-02 15:00:02
NA,7,NA,19126,1518,9497,4078,2022-04-02 15:00:02
NA,8,NA,19119,3155,18904,10700,2022-04-02 15:00:02
NA,9,NA,19120,7687,40342,13935,2022-04-02 15:00:02
NA,10,NA,19128,4258,24755,13022,2022-04-02 15:00:02
NA,11,NA,19104,8430,31814,13668,2022-04-02 15:00:02
NA,12,NA,19127,876,3960,1910,2022-04-02 15:00:02
NA,13,NA,19149,9704,37468,11893,2022-04-02 15:00:02
NA,14,NA,19143,6190,38537,15948,2022-04-02 15:00:02
NA,15,NA,19146,6414,30673,14720,2022-04-02 15:00:02
NA,16,NA,19135,3204,18769,6062,2022-04-02 15:00:02
NA,17,NA,19109,10,21,8,2022-04-02 15:00:02
NA,18,NA,19151,2667,17938,7456,2022-04-02 15:00:02
NA,19,NA,19154,3004,20866,9127,2022-04-02 15:00:02
NA,20,NA,19132,3477,18763,6669,2022-04-02 15:00:02
NA,21,NA,19111,6986,40813,16330,2022-04-02 15:00:02
NA,22,NA,19114,2963,19550,8906,2022-04-02 15:00:02
NA,23,NA,19147,6563,30200,15950,2022-04-02 15:00:02
NA,24,NA,19139,4118,24203,9201,2022-04-02 15:00:02
NA,25,NA,19124,7108,38582,12399,2022-04-02 15:00:02
NA,26,NA,19142,3094,16537,5341,2022-04-02 15:00:02
NA,27,NA,19118,1309,6913,4263,2022-04-02 15:00:02
NA,28,NA,19122,2931,13120,4759,2022-04-02 15:00:02
NA,29,NA,19123,3236,12081,5261,2022-04-02 15:00:02
NA,30,NA,19130,5416,19993,9863,2022-04-02 15:00:02
NA,31,NA,19116,3169,19475,8685,2022-04-02 15:00:02
NA,32,NA,19112,23,337,10,2022-04-02 15:00:02
NA,33,NA,19129,1449,7372,3871,2022-04-02 15:00:02
NA,34,NA,19113,13,45,14,2022-04-02 15:00:02
NA,35,NA,19140,5707,29821,9737,2022-04-02 15:00:02
NA,36,NA,19134,6482,32007,10136,2022-04-02 15:00:02
NA,37,NA,19145,5582,31674,13802,2022-04-02 15:00:02
NA,38,NA,19121,4046,20676,6702,2022-04-02 15:00:02
NA,39,NA,19107,3264,11697,5679,2022-04-02 15:00:02
NA,40,NA,19150,2002,14919,7179,2022-04-02 15:00:02
NA,41,NA,19131,3920,23893,9741,2022-04-02 15:00:02
NA,42,NA,19102,1499,4320,2236,2022-04-02 15:00:02
NA,43,NA,19148,7247,37762,15744,2022-04-02 15:00:02
NA,44,NA,19115,3428,22519,10381,2022-04-02 15:00:02
NA,45,NA,19136,3680,21231,8022,2022-04-02 15:00:02
NA,46,NA,19103,5672,18689,10436,2022-04-02 15:00:02
NA,47,NA,19106,2441,8927,5086,2022-04-02 15:00:02
NA,48,NA,19141,2776,16576,6253,2022-04-02 15:00:02
NA,49,NA,19137,828,4515,1678,2022-04-02 15:00:02
