the_geom,cartodb_id,the_geom_webmercator,zip_code,partially_vaccinated,fully_vaccinated,etl_timestamp
NA,1,NA,19138,3641,17047,2022-02-01 16:00:02
NA,2,NA,19125,4999,16286,2022-02-01 16:00:02
NA,3,NA,19144,5650,23042,2022-02-01 16:00:02
NA,4,NA,19152,5125,22033,2022-02-01 16:00:02
NA,5,NA,19153,1387,7076,2022-02-01 16:00:02
NA,6,NA,19133,3552,13098,2022-02-01 16:00:02
NA,7,NA,19126,2008,8914,2022-02-01 16:00:02
NA,8,NA,19119,4514,18169,2022-02-01 16:00:02
NA,9,NA,19120,9037,37387,2022-02-01 16:00:02
NA,10,NA,19128,5750,23818,2022-02-01 16:00:02
NA,11,NA,19104,10623,30986,2022-02-01 16:00:02
NA,12,NA,19127,1140,3852,2022-02-01 16:00:02
NA,13,NA,19149,10039,34619,2022-02-01 16:00:02
NA,14,NA,19143,8300,35854,2022-02-01 16:00:02
NA,15,NA,19146,8047,29391,2022-02-01 16:00:02
NA,16,NA,19135,3687,17431,2022-02-01 16:00:02
NA,17,NA,19151,3442,16648,2022-02-01 16:00:02
NA,18,NA,19154,3720,20033,2022-02-01 16:00:02
NA,19,NA,19132,4261,17234,2022-02-01 16:00:02
NA,20,NA,19111,8173,38627,2022-02-01 16:00:02
NA,21,NA,19114,3826,18677,2022-02-01 16:00:02
NA,22,NA,19147,8786,29095,2022-02-01 16:00:02
NA,23,NA,19139,5224,22350,2022-02-01 16:00:02
NA,24,NA,19124,8236,35447,2022-02-01 16:00:02
NA,25,NA,19142,3514,15148,2022-02-01 16:00:02
NA,26,NA,19118,1824,6765,2022-02-01 16:00:02
NA,27,NA,19122,3276,12516,2022-02-01 16:00:02
NA,28,NA,19123,4055,11604,2022-02-01 16:00:02
NA,29,NA,19130,6898,19447,2022-02-01 16:00:02
NA,30,NA,19116,3868,18664,2022-02-01 16:00:02
NA,31,NA,19129,1868,7101,2022-02-01 16:00:02
NA,32,NA,19140,6917,27470,2022-02-01 16:00:02
NA,33,NA,19134,7574,29442,2022-02-01 16:00:02
NA,34,NA,19145,7031,30223,2022-02-01 16:00:02
NA,35,NA,19121,4664,19406,2022-02-01 16:00:02
NA,36,NA,19107,4031,11410,2022-02-01 16:00:02
NA,37,NA,19150,2736,14173,2022-02-01 16:00:02
NA,38,NA,19131,4896,22294,2022-02-01 16:00:02
NA,39,NA,19102,1721,4217,2022-02-01 16:00:02
NA,40,NA,19148,9099,35699,2022-02-01 16:00:02
NA,41,NA,19115,4049,21664,2022-02-01 16:00:02
NA,42,NA,19136,4272,19950,2022-02-01 16:00:02
NA,43,NA,19103,6825,18213,2022-02-01 16:00:02
NA,44,NA,19106,2984,8782,2022-02-01 16:00:02
NA,45,NA,19141,3426,15371,2022-02-01 16:00:02
NA,46,NA,19137,982,4274,2022-02-01 16:00:02
