the_geom,cartodb_id,the_geom_webmercator,zip_code,partially_vaccinated,fully_vaccinated,boosted,etl_timestamp
NA,1,NA,19138,2868,18393,7314,2022-03-24 15:00:01
NA,2,NA,19125,3631,16793,7920,2022-03-24 15:00:01
NA,3,NA,19144,4371,24544,10230,2022-03-24 15:00:01
NA,4,NA,19152,4629,23151,9272,2022-03-24 15:00:01
NA,5,NA,19153,1073,7562,3174,2022-03-24 15:00:01
NA,6,NA,19133,3072,14290,4282,2022-03-24 15:00:01
NA,7,NA,19126,1524,9485,4057,2022-03-24 15:00:01
NA,8,NA,19119,3161,18880,10665,2022-03-24 15:00:01
NA,9,NA,19120,7706,40261,13832,2022-03-24 15:00:01
NA,10,NA,19128,4252,24724,12949,2022-03-24 15:00:01
NA,11,NA,19104,8398,31749,13547,2022-03-24 15:00:01
NA,12,NA,19127,876,3961,1898,2022-03-24 15:00:01
NA,13,NA,19149,9711,37354,11774,2022-03-24 15:00:01
NA,14,NA,19143,6205,38425,15833,2022-03-24 15:00:01
NA,15,NA,19146,6400,30650,14679,2022-03-24 15:00:01
NA,16,NA,19135,3197,18732,6007,2022-03-24 15:00:01
NA,17,NA,19109,10,20,7,2022-03-24 15:00:01
NA,18,NA,19151,2664,17881,7399,2022-03-24 15:00:01
NA,19,NA,19154,2998,20861,9096,2022-03-24 15:00:01
NA,20,NA,19132,3473,18698,6620,2022-03-24 15:00:01
NA,21,NA,19111,7019,40699,16192,2022-03-24 15:00:01
NA,22,NA,19114,2972,19513,8855,2022-03-24 15:00:01
NA,23,NA,19147,6590,30122,15868,2022-03-24 15:00:01
NA,24,NA,19139,4126,24123,9110,2022-03-24 15:00:01
NA,25,NA,19124,7121,38453,12264,2022-03-24 15:00:01
NA,26,NA,19142,3090,16470,5285,2022-03-24 15:00:01
NA,27,NA,19118,1315,6913,4258,2022-03-24 15:00:01
NA,28,NA,19122,2939,13097,4728,2022-03-24 15:00:01
NA,29,NA,19123,3240,12070,5235,2022-03-24 15:00:01
NA,30,NA,19130,5418,19965,9805,2022-03-24 15:00:01
NA,31,NA,19116,3132,19434,8616,2022-03-24 15:00:01
NA,32,NA,19112,23,336,10,2022-03-24 15:00:01
NA,33,NA,19129,1459,7360,3857,2022-03-24 15:00:01
NA,34,NA,19113,13,45,15,2022-03-24 15:00:01
NA,35,NA,19140,5715,29733,9654,2022-03-24 15:00:01
NA,36,NA,19134,6491,31904,10032,2022-03-24 15:00:01
NA,37,NA,19145,5605,31620,13713,2022-03-24 15:00:01
NA,38,NA,19121,4033,20636,6643,2022-03-24 15:00:01
NA,39,NA,19107,3252,11682,5652,2022-03-24 15:00:01
NA,40,NA,19150,2007,14892,7131,2022-03-24 15:00:01
NA,41,NA,19131,3947,23809,9656,2022-03-24 15:00:01
NA,42,NA,19102,1496,4321,2229,2022-03-24 15:00:01
NA,43,NA,19148,7256,37694,15627,2022-03-24 15:00:01
NA,44,NA,19115,3420,22469,10328,2022-03-24 15:00:01
NA,45,NA,19136,3623,21225,7999,2022-03-24 15:00:01
NA,46,NA,19103,5687,18646,10369,2022-03-24 15:00:01
NA,47,NA,19106,2441,8934,5076,2022-03-24 15:00:01
NA,48,NA,19141,2770,16511,6170,2022-03-24 15:00:01
NA,49,NA,19137,825,4513,1666,2022-03-24 15:00:01
