the_geom,cartodb_id,the_geom_webmercator,zip_code,partially_vaccinated,fully_vaccinated,etl_timestamp
NA,1,NA,19138,2513,11336,2021-08-24 15:00:02
NA,2,NA,19125,2354,13123,2021-08-24 15:00:02
NA,3,NA,19144,3631,16156,2021-08-24 15:00:02
NA,4,NA,19152,3725,16451,2021-08-24 15:00:02
NA,5,NA,19153,942,4731,2021-08-24 15:00:02
NA,6,NA,19133,2463,9104,2021-08-24 15:00:02
NA,7,NA,19126,1326,6224,2021-08-24 15:00:02
NA,8,NA,19119,2384,12922,2021-08-24 15:00:02
NA,9,NA,19120,6445,25146,2021-08-24 15:00:02
NA,10,NA,19128,3045,15960,2021-08-24 15:00:02
NA,11,NA,19104,4638,24673,2021-08-24 15:00:02
NA,12,NA,19127,444,2725,2021-08-24 15:00:02
NA,13,NA,19149,7578,24780,2021-08-24 15:00:02
NA,14,NA,19143,4754,25250,2021-08-24 15:00:02
NA,15,NA,19146,3432,22460,2021-08-24 15:00:02
NA,16,NA,19135,2759,12277,2021-08-24 15:00:02
NA,17,NA,19151,2101,10154,2021-08-24 15:00:02
NA,18,NA,19154,2450,13821,2021-08-24 15:00:02
NA,19,NA,19132,2832,11519,2021-08-24 15:00:02
NA,20,NA,19111,5993,27343,2021-08-24 15:00:02
NA,21,NA,19114,2425,13867,2021-08-24 15:00:02
NA,22,NA,19147,3990,22928,2021-08-24 15:00:02
NA,23,NA,19139,3197,15071,2021-08-24 15:00:02
NA,24,NA,19124,5872,24510,2021-08-24 15:00:02
NA,25,NA,19142,2382,9534,2021-08-24 15:00:02
NA,26,NA,19118,735,4528,2021-08-24 15:00:02
NA,27,NA,19122,1992,9359,2021-08-24 15:00:02
NA,28,NA,19123,2312,9186,2021-08-24 15:00:02
NA,29,NA,19130,3006,15124,2021-08-24 15:00:02
NA,30,NA,19116,2358,12769,2021-08-24 15:00:02
NA,31,NA,19129,1170,5167,2021-08-24 15:00:02
NA,32,NA,19140,4701,19104,2021-08-24 15:00:02
NA,33,NA,19134,5097,21177,2021-08-24 15:00:02
NA,34,NA,19145,4528,23288,2021-08-24 15:00:02
NA,35,NA,19121,3035,13536,2021-08-24 15:00:02
NA,36,NA,19107,1956,9620,2021-08-24 15:00:02
NA,37,NA,19150,1816,9858,2021-08-24 15:00:02
NA,38,NA,19131,3046,14826,2021-08-24 15:00:02
NA,39,NA,19102,757,3523,2021-08-24 15:00:02
NA,40,NA,19148,5992,27721,2021-08-24 15:00:02
NA,41,NA,19115,2815,15865,2021-08-24 15:00:02
NA,42,NA,19136,3174,14425,2021-08-24 15:00:02
NA,43,NA,19103,2669,15367,2021-08-24 15:00:02
NA,44,NA,19106,1620,7066,2021-08-24 15:00:02
NA,45,NA,19141,2381,10296,2021-08-24 15:00:02
NA,46,NA,19137,804,3107,2021-08-24 15:00:02
