the_geom,cartodb_id,the_geom_webmercator,zip_code,partially_vaccinated,fully_vaccinated,etl_timestamp
NA,1,NA,19138,2528,11430,2021-08-27 15:00:02
NA,2,NA,19125,2387,13169,2021-08-27 15:00:02
NA,3,NA,19144,3676,16290,2021-08-27 15:00:02
NA,4,NA,19152,3743,16565,2021-08-27 15:00:02
NA,5,NA,19153,932,4785,2021-08-27 15:00:02
NA,6,NA,19133,2521,9190,2021-08-27 15:00:02
NA,7,NA,19126,1342,6269,2021-08-27 15:00:02
NA,8,NA,19119,2407,12985,2021-08-27 15:00:02
NA,9,NA,19120,6584,25403,2021-08-27 15:00:02
NA,10,NA,19128,3098,16053,2021-08-27 15:00:02
NA,11,NA,19104,4765,24761,2021-08-27 15:00:02
NA,12,NA,19127,463,2730,2021-08-27 15:00:02
NA,13,NA,19149,7634,25016,2021-08-27 15:00:02
NA,14,NA,19143,4800,25417,2021-08-27 15:00:02
NA,15,NA,19146,3483,22532,2021-08-27 15:00:02
NA,16,NA,19135,2753,12423,2021-08-27 15:00:02
NA,17,NA,19151,2136,10247,2021-08-27 15:00:02
NA,18,NA,19154,2497,13898,2021-08-27 15:00:02
NA,19,NA,19132,2902,11654,2021-08-27 15:00:02
NA,20,NA,19111,6012,27587,2021-08-27 15:00:02
NA,21,NA,19114,2455,13960,2021-08-27 15:00:02
NA,22,NA,19147,4012,23033,2021-08-27 15:00:02
NA,23,NA,19139,3233,15205,2021-08-27 15:00:02
NA,24,NA,19124,5974,24756,2021-08-27 15:00:02
NA,25,NA,19142,2381,9656,2021-08-27 15:00:02
NA,26,NA,19118,740,4540,2021-08-27 15:00:02
NA,27,NA,19122,2463,9403,2021-08-27 15:00:02
NA,28,NA,19123,2423,9235,2021-08-27 15:00:02
NA,29,NA,19130,3173,15167,2021-08-27 15:00:02
NA,30,NA,19116,2385,12842,2021-08-27 15:00:02
NA,31,NA,19129,1199,5181,2021-08-27 15:00:02
NA,32,NA,19140,4757,19294,2021-08-27 15:00:02
NA,33,NA,19134,5183,21373,2021-08-27 15:00:02
NA,34,NA,19145,4481,23525,2021-08-27 15:00:02
NA,35,NA,19121,3865,13637,2021-08-27 15:00:02
NA,36,NA,19107,1987,9633,2021-08-27 15:00:02
NA,37,NA,19150,1830,9925,2021-08-27 15:00:02
NA,38,NA,19131,3128,14916,2021-08-27 15:00:02
NA,39,NA,19102,774,3528,2021-08-27 15:00:02
NA,40,NA,19148,5972,27968,2021-08-27 15:00:02
NA,41,NA,19115,2833,15965,2021-08-27 15:00:02
NA,42,NA,19136,3190,14575,2021-08-27 15:00:02
NA,43,NA,19103,2705,15415,2021-08-27 15:00:02
NA,44,NA,19106,1638,7078,2021-08-27 15:00:02
NA,45,NA,19141,2438,10378,2021-08-27 15:00:02
NA,46,NA,19137,830,3135,2021-08-27 15:00:02
