the_geom,cartodb_id,the_geom_webmercator,zip_code,partially_vaccinated,fully_vaccinated,etl_timestamp
NA,1,NA,19138,2803,14030,2021-12-13 16:00:01
NA,2,NA,19125,3707,14461,2021-12-13 16:00:01
NA,3,NA,19144,4332,19676,2021-12-13 16:00:01
NA,4,NA,19152,4234,19200,2021-12-13 16:00:01
NA,5,NA,19153,1094,5707,2021-12-13 16:00:01
NA,6,NA,19133,2811,11757,2021-12-13 16:00:01
NA,7,NA,19126,1554,7342,2021-12-13 16:00:01
NA,8,NA,19119,3582,14895,2021-12-13 16:00:01
NA,9,NA,19120,7067,31969,2021-12-13 16:00:01
NA,10,NA,19128,4256,17927,2021-12-13 16:00:01
NA,11,NA,19104,6096,27150,2021-12-13 16:00:01
NA,12,NA,19127,691,2930,2021-12-13 16:00:01
NA,13,NA,19149,7927,30309,2021-12-13 16:00:01
NA,14,NA,19143,6007,30271,2021-12-13 16:00:01
NA,15,NA,19146,5763,25886,2021-12-13 16:00:01
NA,16,NA,19135,2836,15212,2021-12-13 16:00:01
NA,17,NA,19151,2443,12276,2021-12-13 16:00:01
NA,18,NA,19154,3110,16020,2021-12-13 16:00:01
NA,19,NA,19132,3198,15105,2021-12-13 16:00:01
NA,20,NA,19111,6625,32663,2021-12-13 16:00:01
NA,21,NA,19114,3125,16026,2021-12-13 16:00:01
NA,22,NA,19147,6474,25873,2021-12-13 16:00:01
NA,23,NA,19139,3887,18907,2021-12-13 16:00:01
NA,24,NA,19124,6336,31240,2021-12-13 16:00:01
NA,25,NA,19142,2719,12188,2021-12-13 16:00:01
NA,26,NA,19118,1228,4921,2021-12-13 16:00:01
NA,27,NA,19122,2497,11395,2021-12-13 16:00:01
NA,28,NA,19123,3120,10286,2021-12-13 16:00:01
NA,29,NA,19130,5166,16665,2021-12-13 16:00:01
NA,30,NA,19116,3233,14896,2021-12-13 16:00:01
NA,31,NA,19129,1515,5883,2021-12-13 16:00:01
NA,32,NA,19140,5313,24388,2021-12-13 16:00:01
NA,33,NA,19134,5905,26401,2021-12-13 16:00:01
NA,34,NA,19145,5438,27360,2021-12-13 16:00:01
NA,35,NA,19121,3576,17399,2021-12-13 16:00:01
NA,36,NA,19107,2986,10274,2021-12-13 16:00:01
NA,37,NA,19150,2151,11471,2021-12-13 16:00:01
NA,38,NA,19131,3710,17672,2021-12-13 16:00:01
NA,39,NA,19102,1247,3675,2021-12-13 16:00:01
NA,40,NA,19148,6729,32150,2021-12-13 16:00:01
NA,41,NA,19115,3566,17978,2021-12-13 16:00:01
NA,42,NA,19136,3424,17298,2021-12-13 16:00:01
NA,43,NA,19103,5105,16153,2021-12-13 16:00:01
NA,44,NA,19106,2453,7616,2021-12-13 16:00:01
NA,45,NA,19141,2719,13009,2021-12-13 16:00:01
NA,46,NA,19137,848,3799,2021-12-13 16:00:01
