the_geom,cartodb_id,the_geom_webmercator,zip_code,partially_vaccinated,fully_vaccinated,boosted,etl_timestamp
NA,1,NA,19138,2861,19144,8164,2022-08-01 13:48:33
NA,2,NA,19125,3908,17162,8630,2022-08-01 13:48:33
NA,3,NA,19144,4417,25525,11548,2022-08-01 13:48:33
NA,4,NA,19152,4670,23868,10321,2022-08-01 13:48:33
NA,5,NA,19153,1111,7885,3515,2022-08-01 13:48:33
NA,6,NA,19133,3146,14791,5022,2022-08-01 13:48:33
NA,7,NA,19126,1530,9883,4537,2022-08-01 13:48:33
NA,8,NA,19119,3289,19620,11884,2022-08-01 13:48:33
NA,9,NA,19120,7722,41821,15547,2022-08-01 13:48:33
NA,10,NA,19128,4573,25978,14492,2022-08-01 13:48:33
NA,11,NA,19104,8833,32551,15070,2022-08-01 13:48:33
NA,12,NA,19127,948,4151,2116,2022-08-01 13:48:33
NA,13,NA,19149,9785,38774,13232,2022-08-01 13:48:33
NA,14,NA,19143,6460,39893,17866,2022-08-01 13:48:33
NA,15,NA,19146,7064,31516,15963,2022-08-01 13:48:33
NA,16,NA,19135,3190,19302,6769,2022-08-01 13:48:33
NA,17,NA,19109,9,27,10,2022-08-01 13:48:33
NA,18,NA,19151,2719,18770,8372,2022-08-01 13:48:33
NA,19,NA,19154,2963,21422,9888,2022-08-01 13:48:33
NA,20,NA,19132,3527,19449,7512,2022-08-01 13:48:33
NA,21,NA,19111,7031,42230,17978,2022-08-01 13:48:33
NA,22,NA,19114,2903,20065,9659,2022-08-01 13:48:33
NA,23,NA,19147,7126,31091,17463,2022-08-01 13:48:33
NA,24,NA,19139,4231,25099,10430,2022-08-01 13:48:33
NA,25,NA,19124,7192,39818,13854,2022-08-01 13:48:33
NA,26,NA,19142,3200,17306,6098,2022-08-01 13:48:33
NA,27,NA,19118,1298,7353,4816,2022-08-01 13:48:33
NA,28,NA,19122,3018,13379,5233,2022-08-01 13:48:33
NA,29,NA,19123,3426,12367,5794,2022-08-01 13:48:33
NA,30,NA,19130,5735,20470,10711,2022-08-01 13:48:33
NA,31,NA,19116,3151,20217,9565,2022-08-01 13:48:33
NA,32,NA,19112,35,336,9,2022-08-01 13:48:33
NA,33,NA,19129,1537,7641,4219,2022-08-01 13:48:33
NA,34,NA,19113,15,43,14,2022-08-01 13:48:33
NA,35,NA,19140,5735,30718,10932,2022-08-01 13:48:33
NA,36,NA,19134,6566,32939,11391,2022-08-01 13:48:33
NA,37,NA,19145,5765,32463,15237,2022-08-01 13:48:33
NA,38,NA,19121,4136,21081,7457,2022-08-01 13:48:33
NA,39,NA,19107,3342,12013,6182,2022-08-01 13:48:33
NA,40,NA,19150,1988,15522,7985,2022-08-01 13:48:33
NA,41,NA,19131,4161,25050,11243,2022-08-01 13:48:33
NA,42,NA,19102,1568,4513,2450,2022-08-01 13:48:33
NA,43,NA,19148,7543,38667,17237,2022-08-01 13:48:33
NA,44,NA,19115,3490,23350,11424,2022-08-01 13:48:33
NA,45,NA,19136,3729,21933,8902,2022-08-01 13:48:33
NA,46,NA,19103,5850,19344,11437,2022-08-01 13:48:33
NA,47,NA,19106,2506,9197,5517,2022-08-01 13:48:33
NA,48,NA,19141,2828,17270,7045,2022-08-01 13:48:33
NA,49,NA,19137,824,4612,1836,2022-08-01 13:48:33
