the_geom,cartodb_id,the_geom_webmercator,zip_code,partially_vaccinated,fully_vaccinated,etl_timestamp
NA,1,NA,19138,2643,12682,2021-11-02 15:39:12
NA,2,NA,19125,2543,13828,2021-11-02 15:39:12
NA,3,NA,19144,3801,17880,2021-11-02 15:39:12
NA,4,NA,19152,3706,18021,2021-11-02 15:39:12
NA,5,NA,19153,948,5215,2021-11-02 15:39:12
NA,6,NA,19133,2633,10555,2021-11-02 15:39:12
NA,7,NA,19126,1346,6824,2021-11-02 15:39:12
NA,8,NA,19119,2704,13751,2021-11-02 15:39:12
NA,9,NA,19120,6538,28890,2021-11-02 15:39:12
NA,10,NA,19128,3436,17020,2021-11-02 15:39:12
NA,11,NA,19104,5033,26212,2021-11-02 15:39:12
NA,12,NA,19127,482,2844,2021-11-02 15:39:12
NA,13,NA,19149,7295,28277,2021-11-02 15:39:12
NA,14,NA,19143,5074,27658,2021-11-02 15:39:12
NA,15,NA,19146,3934,24490,2021-11-02 15:39:12
NA,16,NA,19135,2702,13907,2021-11-02 15:39:12
NA,17,NA,19151,2135,11355,2021-11-02 15:39:12
NA,18,NA,19154,2449,15017,2021-11-02 15:39:12
NA,19,NA,19132,3056,13369,2021-11-02 15:39:12
NA,20,NA,19111,5808,30521,2021-11-02 15:39:12
NA,21,NA,19114,2501,15083,2021-11-02 15:39:12
NA,22,NA,19147,4403,24186,2021-11-02 15:39:12
NA,23,NA,19139,3473,17013,2021-11-02 15:39:12
NA,24,NA,19124,5893,28482,2021-11-02 15:39:12
NA,25,NA,19142,2509,10940,2021-11-02 15:39:12
NA,26,NA,19118,816,4676,2021-11-02 15:39:12
NA,27,NA,19122,2147,10791,2021-11-02 15:39:12
NA,28,NA,19123,2486,9832,2021-11-02 15:39:12
NA,29,NA,19130,3805,15915,2021-11-02 15:39:12
NA,30,NA,19116,2490,14059,2021-11-02 15:39:12
NA,31,NA,19129,1202,5387,2021-11-02 15:39:12
NA,32,NA,19140,4875,21909,2021-11-02 15:39:12
NA,33,NA,19134,5382,24034,2021-11-02 15:39:12
NA,34,NA,19145,4525,25729,2021-11-02 15:39:12
NA,35,NA,19121,3320,15950,2021-11-02 15:39:12
NA,36,NA,19107,2250,10028,2021-11-02 15:39:12
NA,37,NA,19150,1857,10789,2021-11-02 15:39:12
NA,38,NA,19131,3183,16341,2021-11-02 15:39:12
NA,39,NA,19102,933,3664,2021-11-02 15:39:12
NA,40,NA,19148,5750,30384,2021-11-02 15:39:12
NA,41,NA,19115,2791,17132,2021-11-02 15:39:12
NA,42,NA,19136,3085,16167,2021-11-02 15:39:12
NA,43,NA,19103,3404,15739,2021-11-02 15:39:12
NA,44,NA,19106,1959,7329,2021-11-02 15:39:12
NA,45,NA,19141,2537,11716,2021-11-02 15:39:12
NA,46,NA,19137,821,3481,2021-11-02 15:39:12
