the_geom,cartodb_id,the_geom_webmercator,zip_code,partially_vaccinated,fully_vaccinated,boosted,etl_timestamp
NA,1,NA,19138,2829,18674,7632,2022-05-06 11:00:01
NA,2,NA,19125,3619,16755,8156,2022-05-06 11:00:01
NA,3,NA,19144,4305,24864,10733,2022-05-06 11:00:01
NA,4,NA,19152,4620,23376,9688,2022-05-06 11:00:01
NA,5,NA,19153,1055,7681,3323,2022-05-06 11:00:01
NA,6,NA,19133,3098,14467,4550,2022-05-06 11:00:01
NA,7,NA,19126,1509,9637,4254,2022-05-06 11:00:01
NA,8,NA,19119,3081,19066,11004,2022-05-06 11:00:01
NA,9,NA,19120,7573,40936,14515,2022-05-06 11:00:01
NA,10,NA,19128,4178,24847,13409,2022-05-06 11:00:01
NA,11,NA,19104,8506,31938,14202,2022-05-06 11:00:01
NA,12,NA,19127,874,3920,1969,2022-05-06 11:00:01
NA,13,NA,19149,9664,37937,12376,2022-05-06 11:00:01
NA,14,NA,19143,6160,38816,16513,2022-05-06 11:00:01
NA,15,NA,19146,6407,30636,15068,2022-05-06 11:00:01
NA,16,NA,19135,3176,18950,6319,2022-05-06 11:00:01
NA,17,NA,19109,10,21,8,2022-05-06 11:00:01
NA,18,NA,19151,2615,18215,7764,2022-05-06 11:00:01
NA,19,NA,19154,2914,20997,9388,2022-05-06 11:00:01
NA,20,NA,19132,3467,19010,6972,2022-05-06 11:00:01
NA,21,NA,19111,6906,41272,16897,2022-05-06 11:00:01
NA,22,NA,19114,2881,19721,9212,2022-05-06 11:00:01
NA,23,NA,19147,6484,30261,16321,2022-05-06 11:00:01
NA,24,NA,19139,4091,24456,9595,2022-05-06 11:00:01
NA,25,NA,19124,7052,39062,12911,2022-05-06 11:00:01
NA,26,NA,19142,3072,16802,5579,2022-05-06 11:00:01
NA,27,NA,19118,1259,7031,4421,2022-05-06 11:00:01
NA,28,NA,19122,2947,13100,4913,2022-05-06 11:00:01
NA,29,NA,19123,3227,11994,5408,2022-05-06 11:00:01
NA,30,NA,19130,5394,19945,10137,2022-05-06 11:00:01
NA,31,NA,19116,3084,19728,9025,2022-05-06 11:00:01
NA,32,NA,19112,34,338,11,2022-05-06 11:00:01
NA,33,NA,19129,1425,7410,3955,2022-05-06 11:00:01
NA,34,NA,19113,14,42,15,2022-05-06 11:00:01
NA,35,NA,19140,5659,30169,10159,2022-05-06 11:00:01
NA,36,NA,19134,6471,32328,10547,2022-05-06 11:00:01
NA,37,NA,19145,5525,31949,14340,2022-05-06 11:00:01
NA,38,NA,19121,4000,20743,6994,2022-05-06 11:00:01
NA,39,NA,19107,3263,11750,5865,2022-05-06 11:00:01
NA,40,NA,19150,1955,15110,7474,2022-05-06 11:00:01
NA,41,NA,19131,3915,24172,10212,2022-05-06 11:00:01
NA,42,NA,19102,1496,4354,2328,2022-05-06 11:00:01
NA,43,NA,19148,7201,38005,16258,2022-05-06 11:00:01
NA,44,NA,19115,3389,22759,10752,2022-05-06 11:00:01
NA,45,NA,19136,3602,21497,8352,2022-05-06 11:00:01
NA,46,NA,19103,5592,18850,10886,2022-05-06 11:00:01
NA,47,NA,19106,2369,8885,5216,2022-05-06 11:00:01
NA,48,NA,19141,2749,16802,6550,2022-05-06 11:00:01
NA,49,NA,19137,831,4548,1743,2022-05-06 11:00:01
