the_geom,cartodb_id,the_geom_webmercator,zip_code,partially_vaccinated,fully_vaccinated,etl_timestamp
NA,1,NA,19138,2626,12484,2021-10-18 15:00:01
NA,2,NA,19125,2382,13786,2021-10-18 15:00:01
NA,3,NA,19144,3731,17581,2021-10-18 15:00:01
NA,4,NA,19152,3615,17761,2021-10-18 15:00:01
NA,5,NA,19153,943,5158,2021-10-18 15:00:01
NA,6,NA,19133,2592,10347,2021-10-18 15:00:01
NA,7,NA,19126,1336,6716,2021-10-18 15:00:01
NA,8,NA,19119,2517,13546,2021-10-18 15:00:01
NA,9,NA,19120,6427,28403,2021-10-18 15:00:01
NA,10,NA,19128,3251,16852,2021-10-18 15:00:01
NA,11,NA,19104,4980,25959,2021-10-18 15:00:01
NA,12,NA,19127,462,2827,2021-10-18 15:00:01
NA,13,NA,19149,7181,27833,2021-10-18 15:00:01
NA,14,NA,19143,5002,27329,2021-10-18 15:00:01
NA,15,NA,19146,3684,24343,2021-10-18 15:00:01
NA,16,NA,19135,2649,13745,2021-10-18 15:00:01
NA,17,NA,19151,2156,11152,2021-10-18 15:00:01
NA,18,NA,19154,2324,14862,2021-10-18 15:00:01
NA,19,NA,19132,3042,13093,2021-10-18 15:00:01
NA,20,NA,19111,5717,30063,2021-10-18 15:00:01
NA,21,NA,19114,2407,14948,2021-10-18 15:00:01
NA,22,NA,19147,4089,24052,2021-10-18 15:00:01
NA,23,NA,19139,3492,16688,2021-10-18 15:00:01
NA,24,NA,19124,5859,27912,2021-10-18 15:00:01
NA,25,NA,19142,2514,10738,2021-10-18 15:00:01
NA,26,NA,19118,760,4645,2021-10-18 15:00:01
NA,27,NA,19122,2069,10670,2021-10-18 15:00:01
NA,28,NA,19123,2363,9751,2021-10-18 15:00:01
NA,29,NA,19130,3650,15837,2021-10-18 15:00:01
NA,30,NA,19116,2369,13873,2021-10-18 15:00:01
NA,31,NA,19129,1178,5359,2021-10-18 15:00:01
NA,32,NA,19140,4825,21432,2021-10-18 15:00:01
NA,33,NA,19134,5244,23658,2021-10-18 15:00:01
NA,34,NA,19145,4379,25392,2021-10-18 15:00:01
NA,35,NA,19121,3249,15750,2021-10-18 15:00:01
NA,36,NA,19107,2099,9912,2021-10-18 15:00:01
NA,37,NA,19150,1787,10636,2021-10-18 15:00:01
NA,38,NA,19131,3159,16111,2021-10-18 15:00:01
NA,39,NA,19102,862,3637,2021-10-18 15:00:01
NA,40,NA,19148,5577,30102,2021-10-18 15:00:01
NA,41,NA,19115,2655,16948,2021-10-18 15:00:01
NA,42,NA,19136,2994,15970,2021-10-18 15:00:01
NA,43,NA,19103,3148,15750,2021-10-18 15:00:01
NA,44,NA,19106,1815,7289,2021-10-18 15:00:01
NA,45,NA,19141,2528,11493,2021-10-18 15:00:01
NA,46,NA,19137,807,3441,2021-10-18 15:00:01
