the_geom,cartodb_id,the_geom_webmercator,zip_code,partially_vaccinated,fully_vaccinated,etl_timestamp
NA,1,NA,19138,2624,12599,2021-10-26 15:00:02
NA,2,NA,19125,2429,13802,2021-10-26 15:00:02
NA,3,NA,19144,3729,17743,2021-10-26 15:00:02
NA,4,NA,19152,3675,17900,2021-10-26 15:00:02
NA,5,NA,19153,928,5189,2021-10-26 15:00:02
NA,6,NA,19133,2615,10474,2021-10-26 15:00:02
NA,7,NA,19126,1331,6780,2021-10-26 15:00:02
NA,8,NA,19119,2541,13639,2021-10-26 15:00:02
NA,9,NA,19120,6472,28666,2021-10-26 15:00:02
NA,10,NA,19128,3295,16952,2021-10-26 15:00:02
NA,11,NA,19104,4974,26095,2021-10-26 15:00:02
NA,12,NA,19127,470,2835,2021-10-26 15:00:02
NA,13,NA,19149,7220,28070,2021-10-26 15:00:02
NA,14,NA,19143,4990,27512,2021-10-26 15:00:02
NA,15,NA,19146,3750,24408,2021-10-26 15:00:02
NA,16,NA,19135,2663,13841,2021-10-26 15:00:02
NA,17,NA,19151,2134,11278,2021-10-26 15:00:02
NA,18,NA,19154,2384,14928,2021-10-26 15:00:02
NA,19,NA,19132,3029,13263,2021-10-26 15:00:02
NA,20,NA,19111,5771,30286,2021-10-26 15:00:02
NA,21,NA,19114,2414,15032,2021-10-26 15:00:02
NA,22,NA,19147,4163,24128,2021-10-26 15:00:02
NA,23,NA,19139,3475,16869,2021-10-26 15:00:02
NA,24,NA,19124,5847,28247,2021-10-26 15:00:02
NA,25,NA,19142,2510,10861,2021-10-26 15:00:02
NA,26,NA,19118,782,4656,2021-10-26 15:00:02
NA,27,NA,19122,2091,10756,2021-10-26 15:00:02
NA,28,NA,19123,2412,9787,2021-10-26 15:00:02
NA,29,NA,19130,3705,15856,2021-10-26 15:00:02
NA,30,NA,19116,2410,13958,2021-10-26 15:00:02
NA,31,NA,19129,1183,5376,2021-10-26 15:00:02
NA,32,NA,19140,4842,21681,2021-10-26 15:00:02
NA,33,NA,19134,5326,23863,2021-10-26 15:00:02
NA,34,NA,19145,4398,25590,2021-10-26 15:00:02
NA,35,NA,19121,3279,15851,2021-10-26 15:00:02
NA,36,NA,19107,2177,9997,2021-10-26 15:00:02
NA,37,NA,19150,1798,10712,2021-10-26 15:00:02
NA,38,NA,19131,3150,16250,2021-10-26 15:00:02
NA,39,NA,19102,888,3667,2021-10-26 15:00:02
NA,40,NA,19148,5627,30268,2021-10-26 15:00:02
NA,41,NA,19115,2714,17038,2021-10-26 15:00:02
NA,42,NA,19136,3037,16078,2021-10-26 15:00:02
NA,43,NA,19103,3245,15757,2021-10-26 15:00:02
NA,44,NA,19106,1863,7302,2021-10-26 15:00:02
NA,45,NA,19141,2528,11619,2021-10-26 15:00:02
NA,46,NA,19137,816,3455,2021-10-26 15:00:02
