the_geom,cartodb_id,the_geom_webmercator,zip_code,partially_vaccinated,fully_vaccinated,boosted,etl_timestamp
NA,1,NA,19138,2882,18245,7166,2022-03-11 16:00:01
NA,2,NA,19125,3652,16719,7847,2022-03-11 16:00:01
NA,3,NA,19144,4397,24411,10100,2022-03-11 16:00:01
NA,4,NA,19152,4640,23045,9168,2022-03-11 16:00:01
NA,5,NA,19153,1093,7518,3119,2022-03-11 16:00:01
NA,6,NA,19133,3041,14212,4197,2022-03-11 16:00:01
NA,7,NA,19126,1532,9432,3983,2022-03-11 16:00:01
NA,8,NA,19119,3173,18824,10580,2022-03-11 16:00:01
NA,9,NA,19120,7766,39976,13607,2022-03-11 16:00:01
NA,10,NA,19128,4252,24638,12831,2022-03-11 16:00:01
NA,11,NA,19104,8355,31577,13311,2022-03-11 16:00:01
NA,12,NA,19127,872,3944,1875,2022-03-11 16:00:01
NA,13,NA,19149,9763,37129,11584,2022-03-11 16:00:01
NA,14,NA,19143,6309,38139,15594,2022-03-11 16:00:01
NA,15,NA,19146,6376,30555,14536,2022-03-11 16:00:01
NA,16,NA,19135,3241,18581,5914,2022-03-11 16:00:01
NA,17,NA,19109,10,19,7,2022-03-11 16:00:01
NA,18,NA,19151,2699,17744,7274,2022-03-11 16:00:01
NA,19,NA,19154,3006,20785,9018,2022-03-11 16:00:01
NA,20,NA,19132,3490,18567,6495,2022-03-11 16:00:01
NA,21,NA,19111,7052,40488,15954,2022-03-11 16:00:01
NA,22,NA,19114,2977,19424,8779,2022-03-11 16:00:01
NA,23,NA,19147,6603,30034,15748,2022-03-11 16:00:01
NA,24,NA,19139,4175,23941,8914,2022-03-11 16:00:01
NA,25,NA,19124,7185,38137,12004,2022-03-11 16:00:01
NA,26,NA,19142,3122,16303,5169,2022-03-11 16:00:01
NA,27,NA,19118,1320,6896,4225,2022-03-11 16:00:01
NA,28,NA,19122,2934,13052,4657,2022-03-11 16:00:01
NA,29,NA,19123,3240,12028,5173,2022-03-11 16:00:01
NA,30,NA,19130,5401,19943,9742,2022-03-11 16:00:01
NA,31,NA,19116,3122,19314,8486,2022-03-11 16:00:01
NA,32,NA,19112,24,336,10,2022-03-11 16:00:01
NA,33,NA,19129,1469,7326,3823,2022-03-11 16:00:01
NA,34,NA,19113,13,46,15,2022-03-11 16:00:01
NA,35,NA,19140,5743,29540,9462,2022-03-11 16:00:01
NA,36,NA,19134,6585,31622,9803,2022-03-11 16:00:01
NA,37,NA,19145,5628,31474,13501,2022-03-11 16:00:01
NA,38,NA,19121,4040,20533,6537,2022-03-11 16:00:01
NA,39,NA,19107,3244,11652,5608,2022-03-11 16:00:01
NA,40,NA,19150,2012,14811,7025,2022-03-11 16:00:01
NA,41,NA,19131,3944,23665,9498,2022-03-11 16:00:01
NA,42,NA,19102,1495,4301,2213,2022-03-11 16:00:01
NA,43,NA,19148,7279,37535,15395,2022-03-11 16:00:01
NA,44,NA,19115,3419,22383,10209,2022-03-11 16:00:01
NA,45,NA,19136,3647,21066,7865,2022-03-11 16:00:01
NA,46,NA,19103,5680,18625,10313,2022-03-11 16:00:01
NA,47,NA,19106,2442,8921,5039,2022-03-11 16:00:01
NA,48,NA,19141,2779,16363,6055,2022-03-11 16:00:01
NA,49,NA,19137,825,4502,1645,2022-03-11 16:00:01
