the_geom,cartodb_id,the_geom_webmercator,zip_code,partially_vaccinated,fully_vaccinated,etl_timestamp
NA,1,NA,19138,2618,13569,2021-11-16 16:00:01
NA,2,NA,19125,2952,13999,2021-11-16 16:00:01
NA,3,NA,19144,3898,18967,2021-11-16 16:00:01
NA,4,NA,19152,3853,18744,2021-11-16 16:00:01
NA,5,NA,19153,1009,5512,2021-11-16 16:00:01
NA,6,NA,19133,2677,11322,2021-11-16 16:00:01
NA,7,NA,19126,1394,7146,2021-11-16 16:00:01
NA,8,NA,19119,3046,14146,2021-11-16 16:00:01
NA,9,NA,19120,6617,30775,2021-11-16 16:00:01
NA,10,NA,19128,3697,17328,2021-11-16 16:00:01
NA,11,NA,19104,5279,26718,2021-11-16 16:00:01
NA,12,NA,19127,542,2878,2021-11-16 16:00:01
NA,13,NA,19149,7398,29297,2021-11-16 16:00:01
NA,14,NA,19143,5384,28991,2021-11-16 16:00:01
NA,15,NA,19146,4639,24944,2021-11-16 16:00:01
NA,16,NA,19135,2687,14680,2021-11-16 16:00:01
NA,17,NA,19151,2164,11910,2021-11-16 16:00:01
NA,18,NA,19154,2741,15618,2021-11-16 16:00:01
NA,19,NA,19132,3053,14457,2021-11-16 16:00:01
NA,20,NA,19111,6032,31706,2021-11-16 16:00:01
NA,21,NA,19114,2786,15625,2021-11-16 16:00:01
NA,22,NA,19147,5236,24656,2021-11-16 16:00:01
NA,23,NA,19139,3583,18087,2021-11-16 16:00:01
NA,24,NA,19124,5971,29980,2021-11-16 16:00:01
NA,25,NA,19142,2521,11666,2021-11-16 16:00:01
NA,26,NA,19118,1012,4774,2021-11-16 16:00:01
NA,27,NA,19122,2182,11179,2021-11-16 16:00:01
NA,28,NA,19123,2731,10044,2021-11-16 16:00:01
NA,29,NA,19130,4390,16234,2021-11-16 16:00:01
NA,30,NA,19116,2776,14504,2021-11-16 16:00:01
NA,31,NA,19129,1299,5655,2021-11-16 16:00:01
NA,32,NA,19140,4920,23379,2021-11-16 16:00:01
NA,33,NA,19134,5473,25456,2021-11-16 16:00:01
NA,34,NA,19145,4814,26436,2021-11-16 16:00:01
NA,35,NA,19121,3353,16847,2021-11-16 16:00:01
NA,36,NA,19107,2553,10138,2021-11-16 16:00:01
NA,37,NA,19150,1963,11181,2021-11-16 16:00:01
NA,38,NA,19131,3352,17135,2021-11-16 16:00:01
NA,39,NA,19102,1044,3665,2021-11-16 16:00:01
NA,40,NA,19148,6081,31070,2021-11-16 16:00:01
NA,41,NA,19115,3083,17529,2021-11-16 16:00:01
NA,42,NA,19136,3173,16814,2021-11-16 16:00:01
NA,43,NA,19103,4068,15944,2021-11-16 16:00:01
NA,44,NA,19106,2175,7421,2021-11-16 16:00:01
NA,45,NA,19141,2575,12518,2021-11-16 16:00:01
NA,46,NA,19137,788,3695,2021-11-16 16:00:01
