the_geom,cartodb_id,the_geom_webmercator,zip_code,partially_vaccinated,fully_vaccinated,etl_timestamp
NA,1,NA,19138,2506,11542,2021-08-31 15:00:01
NA,2,NA,19125,2416,13205,2021-08-31 15:00:01
NA,3,NA,19144,3673,16420,2021-08-31 15:00:01
NA,4,NA,19152,3739,16704,2021-08-31 15:00:01
NA,5,NA,19153,936,4819,2021-08-31 15:00:01
NA,6,NA,19133,2546,9265,2021-08-31 15:00:01
NA,7,NA,19126,1335,6304,2021-08-31 15:00:01
NA,8,NA,19119,2428,13024,2021-08-31 15:00:01
NA,9,NA,19120,6594,25649,2021-08-31 15:00:01
NA,10,NA,19128,3112,16114,2021-08-31 15:00:01
NA,11,NA,19104,4845,24866,2021-08-31 15:00:01
NA,12,NA,19127,470,2737,2021-08-31 15:00:01
NA,13,NA,19149,7632,25293,2021-08-31 15:00:01
NA,14,NA,19143,4795,25575,2021-08-31 15:00:01
NA,15,NA,19146,3498,22625,2021-08-31 15:00:01
NA,16,NA,19135,2753,12543,2021-08-31 15:00:01
NA,17,NA,19151,2126,10322,2021-08-31 15:00:01
NA,18,NA,19154,2519,13964,2021-08-31 15:00:01
NA,19,NA,19132,2937,11753,2021-08-31 15:00:01
NA,20,NA,19111,5959,27835,2021-08-31 15:00:01
NA,21,NA,19114,2461,14058,2021-08-31 15:00:01
NA,22,NA,19147,4020,23104,2021-08-31 15:00:01
NA,23,NA,19139,3244,15324,2021-08-31 15:00:01
NA,24,NA,19124,5962,25000,2021-08-31 15:00:01
NA,25,NA,19142,2400,9753,2021-08-31 15:00:01
NA,26,NA,19118,738,4553,2021-08-31 15:00:01
NA,27,NA,19122,2467,9454,2021-08-31 15:00:01
NA,28,NA,19123,2446,9281,2021-08-31 15:00:01
NA,29,NA,19130,3198,15202,2021-08-31 15:00:01
NA,30,NA,19116,2372,12963,2021-08-31 15:00:01
NA,31,NA,19129,1194,5209,2021-08-31 15:00:01
NA,32,NA,19140,4779,19469,2021-08-31 15:00:01
NA,33,NA,19134,5224,21537,2021-08-31 15:00:01
NA,34,NA,19145,4501,23651,2021-08-31 15:00:01
NA,35,NA,19121,3865,13750,2021-08-31 15:00:01
NA,36,NA,19107,1993,9654,2021-08-31 15:00:01
NA,37,NA,19150,1841,9993,2021-08-31 15:00:01
NA,38,NA,19131,3142,15014,2021-08-31 15:00:01
NA,39,NA,19102,786,3537,2021-08-31 15:00:01
NA,40,NA,19148,5956,28160,2021-08-31 15:00:01
NA,41,NA,19115,2837,16068,2021-08-31 15:00:01
NA,42,NA,19136,3171,14719,2021-08-31 15:00:01
NA,43,NA,19103,2742,15446,2021-08-31 15:00:01
NA,44,NA,19106,1653,7083,2021-08-31 15:00:01
NA,45,NA,19141,2465,10461,2021-08-31 15:00:01
NA,46,NA,19137,845,3155,2021-08-31 15:00:01
