the_geom,cartodb_id,the_geom_webmercator,zip_code,partially_vaccinated,fully_vaccinated,boosted,etl_timestamp
NA,1,NA,19138,2980,17997,6975,2022-02-28 16:00:02
NA,2,NA,19125,3649,16653,7777,2022-02-28 16:00:02
NA,3,NA,19144,4474,24141,9858,2022-02-28 16:00:02
NA,4,NA,19152,4687,22934,9046,2022-02-28 16:00:02
NA,5,NA,19153,1108,7461,3054,2022-02-28 16:00:02
NA,6,NA,19133,3082,13994,4048,2022-02-28 16:00:02
NA,7,NA,19126,1593,9317,3870,2022-02-28 16:00:02
NA,8,NA,19119,3164,18700,10391,2022-02-28 16:00:02
NA,9,NA,19120,7896,39699,13283,2022-02-28 16:00:02
NA,10,NA,19128,4282,24533,12681,2022-02-28 16:00:02
NA,11,NA,19104,8774,32102,13183,2022-02-28 16:00:02
NA,12,NA,19127,871,3923,1847,2022-02-28 16:00:02
NA,13,NA,19149,9848,36775,11303,2022-02-28 16:00:02
NA,14,NA,19143,6455,37675,15228,2022-02-28 16:00:02
NA,15,NA,19146,6336,30328,14328,2022-02-28 16:00:02
NA,16,NA,19135,3302,18382,5787,2022-02-28 16:00:02
NA,17,NA,19109,12,18,7,2022-02-28 16:00:02
NA,18,NA,19151,2783,17526,7063,2022-02-28 16:00:02
NA,19,NA,19154,3041,20669,8893,2022-02-28 16:00:02
NA,20,NA,19132,3549,18319,6294,2022-02-28 16:00:02
NA,21,NA,19111,7121,40214,15666,2022-02-28 16:00:02
NA,22,NA,19114,3019,19288,8645,2022-02-28 16:00:02
NA,23,NA,19147,6621,29921,15602,2022-02-28 16:00:02
NA,24,NA,19139,4259,23616,8622,2022-02-28 16:00:02
NA,25,NA,19124,7327,37639,11613,2022-02-28 16:00:02
NA,26,NA,19142,3185,16082,5012,2022-02-28 16:00:02
NA,27,NA,19118,1325,6883,4180,2022-02-28 16:00:02
NA,28,NA,19122,2976,12949,4586,2022-02-28 16:00:02
NA,29,NA,19123,3261,11962,5120,2022-02-28 16:00:02
NA,30,NA,19130,5385,19879,9637,2022-02-28 16:00:02
NA,31,NA,19116,3164,19208,8354,2022-02-28 16:00:02
NA,32,NA,19112,23,336,10,2022-02-28 16:00:02
NA,33,NA,19129,1480,7294,3782,2022-02-28 16:00:02
NA,34,NA,19113,12,43,14,2022-02-28 16:00:02
NA,35,NA,19140,5906,29147,9186,2022-02-28 16:00:02
NA,36,NA,19134,6723,31234,9507,2022-02-28 16:00:02
NA,37,NA,19145,5643,31334,13307,2022-02-28 16:00:02
NA,38,NA,19121,4087,20308,6350,2022-02-28 16:00:02
NA,39,NA,19107,3242,11626,5536,2022-02-28 16:00:02
NA,40,NA,19150,2045,14694,6836,2022-02-28 16:00:02
NA,41,NA,19131,4046,23354,9215,2022-02-28 16:00:02
NA,42,NA,19102,1479,4280,2186,2022-02-28 16:00:02
NA,43,NA,19148,7335,37259,15120,2022-02-28 16:00:02
NA,44,NA,19115,3486,22265,10045,2022-02-28 16:00:02
NA,45,NA,19136,3752,20827,7696,2022-02-28 16:00:02
NA,46,NA,19103,5553,18443,10121,2022-02-28 16:00:02
NA,47,NA,19106,2438,8899,5011,2022-02-28 16:00:02
NA,48,NA,19141,2834,16170,5862,2022-02-28 16:00:02
NA,49,NA,19137,829,4449,1609,2022-02-28 16:00:02
