the_geom,cartodb_id,the_geom_webmercator,zip_code,partially_vaccinated,fully_vaccinated,etl_timestamp
NA,1,NA,19138,2624,12402,2021-10-13 15:00:01
NA,2,NA,19125,2374,13755,2021-10-13 15:00:01
NA,3,NA,19144,3716,17499,2021-10-13 15:00:01
NA,4,NA,19152,3605,17692,2021-10-13 15:00:01
NA,5,NA,19153,941,5132,2021-10-13 15:00:01
NA,6,NA,19133,2585,10269,2021-10-13 15:00:01
NA,7,NA,19126,1345,6680,2021-10-13 15:00:01
NA,8,NA,19119,2485,13527,2021-10-13 15:00:01
NA,9,NA,19120,6428,28223,2021-10-13 15:00:01
NA,10,NA,19128,3214,16814,2021-10-13 15:00:01
NA,11,NA,19104,4972,25942,2021-10-13 15:00:01
NA,12,NA,19127,455,2823,2021-10-13 15:00:01
NA,13,NA,19149,7155,27678,2021-10-13 15:00:01
NA,14,NA,19143,4981,27215,2021-10-13 15:00:01
NA,15,NA,19146,3650,24316,2021-10-13 15:00:01
NA,16,NA,19135,2649,13671,2021-10-13 15:00:01
NA,17,NA,19151,2142,11099,2021-10-13 15:00:01
NA,18,NA,19154,2329,14805,2021-10-13 15:00:01
NA,19,NA,19132,3020,12995,2021-10-13 15:00:01
NA,20,NA,19111,5689,29936,2021-10-13 15:00:01
NA,21,NA,19114,2372,14892,2021-10-13 15:00:01
NA,22,NA,19147,4066,24033,2021-10-13 15:00:01
NA,23,NA,19139,3486,16588,2021-10-13 15:00:01
NA,24,NA,19124,5833,27700,2021-10-13 15:00:01
NA,25,NA,19142,2495,10680,2021-10-13 15:00:01
NA,26,NA,19118,758,4644,2021-10-13 15:00:01
NA,27,NA,19122,2052,10635,2021-10-13 15:00:01
NA,28,NA,19123,2348,9757,2021-10-13 15:00:01
NA,29,NA,19130,3673,15831,2021-10-13 15:00:01
NA,30,NA,19116,2339,13804,2021-10-13 15:00:01
NA,31,NA,19129,1189,5352,2021-10-13 15:00:01
NA,32,NA,19140,4790,21265,2021-10-13 15:00:01
NA,33,NA,19134,5198,23519,2021-10-13 15:00:01
NA,34,NA,19145,4414,25247,2021-10-13 15:00:01
NA,35,NA,19121,3224,15686,2021-10-13 15:00:01
NA,36,NA,19107,2078,9913,2021-10-13 15:00:01
NA,37,NA,19150,1782,10589,2021-10-13 15:00:01
NA,38,NA,19131,3137,16039,2021-10-13 15:00:01
NA,39,NA,19102,856,3639,2021-10-13 15:00:01
NA,40,NA,19148,5575,30008,2021-10-13 15:00:01
NA,41,NA,19115,2670,16891,2021-10-13 15:00:01
NA,42,NA,19136,2983,15866,2021-10-13 15:00:01
NA,43,NA,19103,3125,15750,2021-10-13 15:00:01
NA,44,NA,19106,1812,7290,2021-10-13 15:00:01
NA,45,NA,19141,2505,11415,2021-10-13 15:00:01
NA,46,NA,19137,809,3430,2021-10-13 15:00:01
