the_geom,cartodb_id,the_geom_webmercator,zip_code,partially_vaccinated,fully_vaccinated,etl_timestamp
NA,1,NA,19138,3099,14754,2022-01-21 16:00:02
NA,2,NA,19125,4390,15037,2022-01-21 16:00:02
NA,3,NA,19144,4963,20680,2022-01-21 16:00:02
NA,4,NA,19152,4580,19876,2022-01-21 16:00:02
NA,5,NA,19153,1132,6014,2022-01-21 16:00:02
NA,6,NA,19133,3360,12404,2022-01-21 16:00:02
NA,7,NA,19126,1712,7579,2022-01-21 16:00:02
NA,8,NA,19119,3724,15568,2022-01-21 16:00:02
NA,9,NA,19120,8177,33492,2022-01-21 16:00:02
NA,10,NA,19128,4135,18698,2022-01-21 16:00:02
NA,11,NA,19104,8596,28473,2022-01-21 16:00:02
NA,12,NA,19127,712,3025,2022-01-21 16:00:02
NA,13,NA,19149,9241,31973,2022-01-21 16:00:02
NA,14,NA,19143,6931,31720,2022-01-21 16:00:02
NA,15,NA,19146,6580,27222,2022-01-21 16:00:02
NA,16,NA,19135,3288,15929,2022-01-21 16:00:02
NA,17,NA,19151,2633,12903,2022-01-21 16:00:02
NA,18,NA,19154,3153,16575,2022-01-21 16:00:02
NA,19,NA,19132,3912,16069,2022-01-21 16:00:02
NA,20,NA,19111,7110,33990,2022-01-21 16:00:02
NA,21,NA,19114,3302,16482,2022-01-21 16:00:02
NA,22,NA,19147,7212,26908,2022-01-21 16:00:02
NA,23,NA,19139,4471,19877,2022-01-21 16:00:02
NA,24,NA,19124,7435,32808,2022-01-21 16:00:02
NA,25,NA,19142,2967,12899,2022-01-21 16:00:02
NA,26,NA,19118,1186,5126,2022-01-21 16:00:02
NA,27,NA,19122,2915,11812,2022-01-21 16:00:02
NA,28,NA,19123,3486,10723,2022-01-21 16:00:02
NA,29,NA,19130,5653,17455,2022-01-21 16:00:02
NA,30,NA,19116,3160,15274,2022-01-21 16:00:02
NA,31,NA,19129,1554,6164,2022-01-21 16:00:02
NA,32,NA,19140,6319,25731,2022-01-21 16:00:02
NA,33,NA,19134,6890,27729,2022-01-21 16:00:02
NA,34,NA,19145,6133,28487,2022-01-21 16:00:02
NA,35,NA,19121,4197,18197,2022-01-21 16:00:02
NA,36,NA,19107,3542,10633,2022-01-21 16:00:02
NA,37,NA,19150,2275,11860,2022-01-21 16:00:02
NA,38,NA,19131,4008,18463,2022-01-21 16:00:02
NA,39,NA,19102,1465,3824,2022-01-21 16:00:02
NA,40,NA,19148,7980,33786,2022-01-21 16:00:02
NA,41,NA,19115,3553,18526,2022-01-21 16:00:02
NA,42,NA,19136,3772,18040,2022-01-21 16:00:02
NA,43,NA,19103,5823,16689,2022-01-21 16:00:02
NA,44,NA,19106,2499,7931,2022-01-21 16:00:02
NA,45,NA,19141,3115,13752,2022-01-21 16:00:02
NA,46,NA,19137,899,3974,2022-01-21 16:00:02
