the_geom,cartodb_id,the_geom_webmercator,zip_code,partially_vaccinated,fully_vaccinated,etl_timestamp
NA,1,NA,19138,2604,12090,2021-09-20 15:00:01
NA,2,NA,19125,2378,13625,2021-09-20 15:00:01
NA,3,NA,19144,3689,17134,2021-09-20 15:00:01
NA,4,NA,19152,3610,17352,2021-09-20 15:00:01
NA,5,NA,19153,947,5007,2021-09-20 15:00:01
NA,6,NA,19133,2538,9887,2021-09-20 15:00:01
NA,7,NA,19126,1371,6549,2021-09-20 15:00:01
NA,8,NA,19119,2429,13335,2021-09-20 15:00:01
NA,9,NA,19120,6488,27230,2021-09-20 15:00:01
NA,10,NA,19128,3118,16588,2021-09-20 15:00:01
NA,11,NA,19104,5111,25478,2021-09-20 15:00:01
NA,12,NA,19127,449,2812,2021-09-20 15:00:01
NA,13,NA,19149,7339,26753,2021-09-20 15:00:01
NA,14,NA,19143,4966,26576,2021-09-20 15:00:01
NA,15,NA,19146,3559,23929,2021-09-20 15:00:01
NA,16,NA,19135,2721,13288,2021-09-20 15:00:01
NA,17,NA,19151,2087,10804,2021-09-20 15:00:01
NA,18,NA,19154,2347,14554,2021-09-20 15:00:01
NA,19,NA,19132,2954,12503,2021-09-20 15:00:01
NA,20,NA,19111,5724,29215,2021-09-20 15:00:01
NA,21,NA,19114,2371,14634,2021-09-20 15:00:01
NA,22,NA,19147,4030,23755,2021-09-20 15:00:01
NA,23,NA,19139,3408,16041,2021-09-20 15:00:01
NA,24,NA,19124,5869,26588,2021-09-20 15:00:01
NA,25,NA,19142,2421,10334,2021-09-20 15:00:01
NA,26,NA,19118,744,4626,2021-09-20 15:00:01
NA,27,NA,19122,2128,10376,2021-09-20 15:00:01
NA,28,NA,19123,2359,9651,2021-09-20 15:00:01
NA,29,NA,19130,3699,15735,2021-09-20 15:00:01
NA,30,NA,19116,2309,13487,2021-09-20 15:00:01
NA,31,NA,19129,1201,5329,2021-09-20 15:00:01
NA,32,NA,19140,4745,20547,2021-09-20 15:00:01
NA,33,NA,19134,5258,22812,2021-09-20 15:00:01
NA,34,NA,19145,4417,24592,2021-09-20 15:00:01
NA,35,NA,19121,3198,15262,2021-09-20 15:00:01
NA,36,NA,19107,2009,9882,2021-09-20 15:00:01
NA,37,NA,19150,1796,10364,2021-09-20 15:00:01
NA,38,NA,19131,3162,15624,2021-09-20 15:00:01
NA,39,NA,19102,808,3625,2021-09-20 15:00:01
NA,40,NA,19148,5695,29337,2021-09-20 15:00:01
NA,41,NA,19115,2647,16701,2021-09-20 15:00:01
NA,42,NA,19136,2990,15466,2021-09-20 15:00:01
NA,43,NA,19103,3036,15742,2021-09-20 15:00:01
NA,44,NA,19106,1714,7251,2021-09-20 15:00:01
NA,45,NA,19141,2500,11047,2021-09-20 15:00:01
NA,46,NA,19137,816,3359,2021-09-20 15:00:01
