the_geom,cartodb_id,the_geom_webmercator,zip_code,partially_vaccinated,fully_vaccinated,boosted,etl_timestamp
NA,1,NA,19138,2829,18599,7553,2022-05-01 11:00:01
NA,2,NA,19125,3618,16719,8101,2022-05-01 11:00:01
NA,3,NA,19144,4321,24801,10617,2022-05-01 11:00:01
NA,4,NA,19152,4619,23331,9578,2022-05-01 11:00:01
NA,5,NA,19153,1070,7642,3293,2022-05-01 11:00:01
NA,6,NA,19133,3085,14433,4494,2022-05-01 11:00:01
NA,7,NA,19126,1510,9602,4206,2022-05-01 11:00:01
NA,8,NA,19119,3085,19003,10922,2022-05-01 11:00:01
NA,9,NA,19120,7602,40778,14352,2022-05-01 11:00:01
NA,10,NA,19128,4201,24764,13307,2022-05-01 11:00:01
NA,11,NA,19104,8501,31818,14051,2022-05-01 11:00:01
NA,12,NA,19127,878,3909,1952,2022-05-01 11:00:01
NA,13,NA,19149,9686,37824,12218,2022-05-01 11:00:01
NA,14,NA,19143,6186,38701,16362,2022-05-01 11:00:01
NA,15,NA,19146,6361,30562,14965,2022-05-01 11:00:01
NA,16,NA,19135,3190,18918,6245,2022-05-01 11:00:01
NA,17,NA,19109,10,21,8,2022-05-01 11:00:01
NA,18,NA,19151,2635,18130,7683,2022-05-01 11:00:01
NA,19,NA,19154,2978,20997,9327,2022-05-01 11:00:01
NA,20,NA,19132,3479,18929,6861,2022-05-01 11:00:01
NA,21,NA,19111,6925,41159,16719,2022-05-01 11:00:01
NA,22,NA,19114,2917,19694,9124,2022-05-01 11:00:01
NA,23,NA,19147,6496,30161,16204,2022-05-01 11:00:01
NA,24,NA,19139,4111,24357,9481,2022-05-01 11:00:01
NA,25,NA,19124,7048,38909,12764,2022-05-01 11:00:01
NA,26,NA,19142,3092,16710,5522,2022-05-01 11:00:01
NA,27,NA,19118,1285,6975,4376,2022-05-01 11:00:01
NA,28,NA,19122,2952,13072,4873,2022-05-01 11:00:01
NA,29,NA,19123,3212,11973,5359,2022-05-01 11:00:01
NA,30,NA,19130,5393,19912,10073,2022-05-01 11:00:01
NA,31,NA,19116,3082,19678,8900,2022-05-01 11:00:01
NA,32,NA,19112,25,337,10,2022-05-01 11:00:01
NA,33,NA,19129,1431,7386,3927,2022-05-01 11:00:01
NA,34,NA,19113,13,43,15,2022-05-01 11:00:01
NA,35,NA,19140,5675,30078,10032,2022-05-01 11:00:01
NA,36,NA,19134,6479,32224,10420,2022-05-01 11:00:01
NA,37,NA,19145,5544,31844,14206,2022-05-01 11:00:01
NA,38,NA,19121,4034,20670,6896,2022-05-01 11:00:01
NA,39,NA,19107,3272,11709,5815,2022-05-01 11:00:01
NA,40,NA,19150,1973,15057,7375,2022-05-01 11:00:01
NA,41,NA,19131,3921,24089,10079,2022-05-01 11:00:01
NA,42,NA,19102,1497,4345,2311,2022-05-01 11:00:01
NA,43,NA,19148,7195,37887,16128,2022-05-01 11:00:01
NA,44,NA,19115,3406,22710,10630,2022-05-01 11:00:01
NA,45,NA,19136,3640,21435,8273,2022-05-01 11:00:01
NA,46,NA,19103,5613,18784,10806,2022-05-01 11:00:01
NA,47,NA,19106,2388,8858,5194,2022-05-01 11:00:01
NA,48,NA,19141,2765,16736,6475,2022-05-01 11:00:01
NA,49,NA,19137,826,4548,1732,2022-05-01 11:00:01
