the_geom,cartodb_id,the_geom_webmercator,zip_code,partially_vaccinated,fully_vaccinated,boosted,etl_timestamp
NA,1,NA,19138,2883,18239,7157,2022-03-10 16:44:10
NA,2,NA,19125,3658,16710,7834,2022-03-10 16:44:10
NA,3,NA,19144,4404,24389,10084,2022-03-10 16:44:10
NA,4,NA,19152,4643,23033,9153,2022-03-10 16:44:10
NA,5,NA,19153,1098,7513,3115,2022-03-10 16:44:10
NA,6,NA,19133,3054,14185,4184,2022-03-10 16:44:10
NA,7,NA,19126,1535,9433,3981,2022-03-10 16:44:10
NA,8,NA,19119,3171,18824,10575,2022-03-10 16:44:10
NA,9,NA,19120,7775,39947,13574,2022-03-10 16:44:10
NA,10,NA,19128,4247,24636,12823,2022-03-10 16:44:10
NA,11,NA,19104,8353,31567,13295,2022-03-10 16:44:10
NA,12,NA,19127,869,3944,1874,2022-03-10 16:44:10
NA,13,NA,19149,9759,37095,11562,2022-03-10 16:44:10
NA,14,NA,19143,6322,38090,15569,2022-03-10 16:44:10
NA,15,NA,19146,6368,30549,14522,2022-03-10 16:44:10
NA,16,NA,19135,3230,18562,5901,2022-03-10 16:44:10
NA,17,NA,19109,10,19,7,2022-03-10 16:44:10
NA,18,NA,19151,2707,17725,7260,2022-03-10 16:44:10
NA,19,NA,19154,3012,20775,9008,2022-03-10 16:44:10
NA,20,NA,19132,3494,18554,6486,2022-03-10 16:44:10
NA,21,NA,19111,7054,40468,15929,2022-03-10 16:44:10
NA,22,NA,19114,2982,19417,8771,2022-03-10 16:44:10
NA,23,NA,19147,6600,30024,15737,2022-03-10 16:44:10
NA,24,NA,19139,4175,23921,8887,2022-03-10 16:44:10
NA,25,NA,19124,7198,38069,11979,2022-03-10 16:44:10
NA,26,NA,19142,3139,16268,5159,2022-03-10 16:44:10
NA,27,NA,19118,1320,6897,4225,2022-03-10 16:44:10
NA,28,NA,19122,2938,13039,4649,2022-03-10 16:44:10
NA,29,NA,19123,3245,12020,5169,2022-03-10 16:44:10
NA,30,NA,19130,5406,19933,9737,2022-03-10 16:44:10
NA,31,NA,19116,3122,19315,8478,2022-03-10 16:44:10
NA,32,NA,19112,24,336,10,2022-03-10 16:44:10
NA,33,NA,19129,1469,7326,3820,2022-03-10 16:44:10
NA,34,NA,19113,13,46,15,2022-03-10 16:44:10
NA,35,NA,19140,5736,29522,9442,2022-03-10 16:44:10
NA,36,NA,19134,6587,31553,9758,2022-03-10 16:44:10
NA,37,NA,19145,5641,31458,13486,2022-03-10 16:44:10
NA,38,NA,19121,4045,20515,6522,2022-03-10 16:44:10
NA,39,NA,19107,3246,11653,5603,2022-03-10 16:44:10
NA,40,NA,19150,2016,14807,7015,2022-03-10 16:44:10
NA,41,NA,19131,3939,23652,9478,2022-03-10 16:44:10
NA,42,NA,19102,1496,4299,2213,2022-03-10 16:44:10
NA,43,NA,19148,7285,37511,15376,2022-03-10 16:44:10
NA,44,NA,19115,3431,22373,10196,2022-03-10 16:44:10
NA,45,NA,19136,3653,21054,7853,2022-03-10 16:44:10
NA,46,NA,19103,5679,18619,10304,2022-03-10 16:44:10
NA,47,NA,19106,2441,8917,5038,2022-03-10 16:44:10
NA,48,NA,19141,2778,16356,6045,2022-03-10 16:44:10
NA,49,NA,19137,823,4499,1644,2022-03-10 16:44:10
