the_geom,cartodb_id,the_geom_webmercator,zip_code,partially_vaccinated,fully_vaccinated,etl_timestamp
NA,1,NA,19138,2721,13757,2021-12-01 16:00:01
NA,2,NA,19125,3313,14052,2021-12-01 16:00:01
NA,3,NA,19144,4110,19144,2021-12-01 16:00:01
NA,4,NA,19152,3985,18951,2021-12-01 16:00:01
NA,5,NA,19153,1040,5588,2021-12-01 16:00:01
NA,6,NA,19133,2690,11577,2021-12-01 16:00:01
NA,7,NA,19126,1465,7242,2021-12-01 16:00:01
NA,8,NA,19119,3342,14348,2021-12-01 16:00:01
NA,9,NA,19120,6782,31306,2021-12-01 16:00:01
NA,10,NA,19128,4030,17483,2021-12-01 16:00:01
NA,11,NA,19104,5682,26832,2021-12-01 16:00:01
NA,12,NA,19127,613,2892,2021-12-01 16:00:01
NA,13,NA,19149,7606,29716,2021-12-01 16:00:01
NA,14,NA,19143,5697,29426,2021-12-01 16:00:01
NA,15,NA,19146,5311,25171,2021-12-01 16:00:01
NA,16,NA,19135,2753,14901,2021-12-01 16:00:01
NA,17,NA,19151,2314,12068,2021-12-01 16:00:01
NA,18,NA,19154,2904,15762,2021-12-01 16:00:01
NA,19,NA,19132,3077,14781,2021-12-01 16:00:01
NA,20,NA,19111,6357,32151,2021-12-01 16:00:01
NA,21,NA,19114,2956,15808,2021-12-01 16:00:01
NA,22,NA,19147,5930,24915,2021-12-01 16:00:01
NA,23,NA,19139,3766,18457,2021-12-01 16:00:01
NA,24,NA,19124,6162,30563,2021-12-01 16:00:01
NA,25,NA,19142,2625,11903,2021-12-01 16:00:01
NA,26,NA,19118,1149,4836,2021-12-01 16:00:01
NA,27,NA,19122,2336,11224,2021-12-01 16:00:01
NA,28,NA,19123,2948,10119,2021-12-01 16:00:01
NA,29,NA,19130,4817,16345,2021-12-01 16:00:01
NA,30,NA,19116,2992,14709,2021-12-01 16:00:01
NA,31,NA,19129,1392,5726,2021-12-01 16:00:01
NA,32,NA,19140,5087,23850,2021-12-01 16:00:01
NA,33,NA,19134,5674,25890,2021-12-01 16:00:01
NA,34,NA,19145,5141,26773,2021-12-01 16:00:01
NA,35,NA,19121,3464,17093,2021-12-01 16:00:01
NA,36,NA,19107,2759,10203,2021-12-01 16:00:01
NA,37,NA,19150,2052,11313,2021-12-01 16:00:01
NA,38,NA,19131,3505,17331,2021-12-01 16:00:01
NA,39,NA,19102,1147,3671,2021-12-01 16:00:01
NA,40,NA,19148,6449,31370,2021-12-01 16:00:01
NA,41,NA,19115,3313,17731,2021-12-01 16:00:01
NA,42,NA,19136,3303,17036,2021-12-01 16:00:01
NA,43,NA,19103,4618,15949,2021-12-01 16:00:01
NA,44,NA,19106,2368,7464,2021-12-01 16:00:01
NA,45,NA,19141,2647,12734,2021-12-01 16:00:01
NA,46,NA,19137,832,3723,2021-12-01 16:00:01
