the_geom,cartodb_id,the_geom_webmercator,zip_code,partially_vaccinated,fully_vaccinated,etl_timestamp
NA,1,NA,19138,2576,11951,2021-09-15 15:00:00
NA,2,NA,19125,2408,13499,2021-09-15 15:00:00
NA,3,NA,19144,3732,16912,2021-09-15 15:00:00
NA,4,NA,19152,3696,17196,2021-09-15 15:00:00
NA,5,NA,19153,937,4954,2021-09-15 15:00:00
NA,6,NA,19133,2574,9765,2021-09-15 15:00:00
NA,7,NA,19126,1378,6484,2021-09-15 15:00:00
NA,8,NA,19119,2456,13258,2021-09-15 15:00:00
NA,9,NA,19120,6600,26828,2021-09-15 15:00:00
NA,10,NA,19128,3176,16442,2021-09-15 15:00:00
NA,11,NA,19104,5116,25296,2021-09-15 15:00:00
NA,12,NA,19127,460,2788,2021-09-15 15:00:00
NA,13,NA,19149,7502,26392,2021-09-15 15:00:00
NA,14,NA,19143,4933,26325,2021-09-15 15:00:00
NA,15,NA,19146,3579,23692,2021-09-15 15:00:00
NA,16,NA,19135,2776,13096,2021-09-15 15:00:00
NA,17,NA,19151,2105,10683,2021-09-15 15:00:00
NA,18,NA,19154,2416,14405,2021-09-15 15:00:00
NA,19,NA,19132,2957,12310,2021-09-15 15:00:00
NA,20,NA,19111,5810,28926,2021-09-15 15:00:00
NA,21,NA,19114,2432,14481,2021-09-15 15:00:00
NA,22,NA,19147,4078,23553,2021-09-15 15:00:00
NA,23,NA,19139,3393,15853,2021-09-15 15:00:00
NA,24,NA,19124,5967,26213,2021-09-15 15:00:00
NA,25,NA,19142,2452,10181,2021-09-15 15:00:00
NA,26,NA,19118,745,4608,2021-09-15 15:00:00
NA,27,NA,19122,2105,10232,2021-09-15 15:00:00
NA,28,NA,19123,2385,9577,2021-09-15 15:00:00
NA,29,NA,19130,3700,15646,2021-09-15 15:00:00
NA,30,NA,19116,2354,13335,2021-09-15 15:00:00
NA,31,NA,19129,1204,5293,2021-09-15 15:00:00
NA,32,NA,19140,4802,20314,2021-09-15 15:00:00
NA,33,NA,19134,5340,22480,2021-09-15 15:00:00
NA,34,NA,19145,4475,24302,2021-09-15 15:00:00
NA,35,NA,19121,3178,15044,2021-09-15 15:00:00
NA,36,NA,19107,2029,9829,2021-09-15 15:00:00
NA,37,NA,19150,1821,10254,2021-09-15 15:00:00
NA,38,NA,19131,3199,15441,2021-09-15 15:00:00
NA,39,NA,19102,813,3589,2021-09-15 15:00:00
NA,40,NA,19148,5798,29064,2021-09-15 15:00:00
NA,41,NA,19115,2728,16523,2021-09-15 15:00:00
NA,42,NA,19136,3056,15272,2021-09-15 15:00:00
NA,43,NA,19103,3061,15619,2021-09-15 15:00:00
NA,44,NA,19106,1716,7175,2021-09-15 15:00:00
NA,45,NA,19141,2474,10899,2021-09-15 15:00:00
NA,46,NA,19137,835,3294,2021-09-15 15:00:00
