the_geom,cartodb_id,the_geom_webmercator,zip_code,partially_vaccinated,fully_vaccinated,etl_timestamp
NA,1,NA,19138,2943,14178,2021-12-21 16:42:19
NA,2,NA,19125,4073,14679,2021-12-21 16:42:19
NA,3,NA,19144,4562,19927,2021-12-21 16:42:19
NA,4,NA,19152,4378,19317,2021-12-21 16:42:19
NA,5,NA,19153,1136,5784,2021-12-21 16:42:19
NA,6,NA,19133,2937,11886,2021-12-21 16:42:19
NA,7,NA,19126,1610,7384,2021-12-21 16:42:19
NA,8,NA,19119,3784,15151,2021-12-21 16:42:19
NA,9,NA,19120,7339,32230,2021-12-21 16:42:19
NA,10,NA,19128,4482,18148,2021-12-21 16:42:19
NA,11,NA,19104,7981,27626,2021-12-21 16:42:19
NA,12,NA,19127,728,2958,2021-12-21 16:42:19
NA,13,NA,19149,8134,30596,2021-12-21 16:42:19
NA,14,NA,19143,6358,30578,2021-12-21 16:42:19
NA,15,NA,19146,6215,26188,2021-12-21 16:42:19
NA,16,NA,19135,2938,15363,2021-12-21 16:42:19
NA,17,NA,19151,2568,12406,2021-12-21 16:42:19
NA,18,NA,19154,3265,16163,2021-12-21 16:42:19
NA,19,NA,19132,3344,15322,2021-12-21 16:42:19
NA,20,NA,19111,6873,32979,2021-12-21 16:42:19
NA,21,NA,19114,3260,16106,2021-12-21 16:42:19
NA,22,NA,19147,6883,26090,2021-12-21 16:42:19
NA,23,NA,19139,4066,19148,2021-12-21 16:42:19
NA,24,NA,19124,6581,31605,2021-12-21 16:42:19
NA,25,NA,19142,2768,12347,2021-12-21 16:42:19
NA,26,NA,19118,1284,4991,2021-12-21 16:42:19
NA,27,NA,19122,2648,11478,2021-12-21 16:42:19
NA,28,NA,19123,3235,10372,2021-12-21 16:42:19
NA,29,NA,19130,5535,16883,2021-12-21 16:42:19
NA,30,NA,19116,3374,14987,2021-12-21 16:42:19
NA,31,NA,19129,1585,5959,2021-12-21 16:42:19
NA,32,NA,19140,5552,24678,2021-12-21 16:42:19
NA,33,NA,19134,6129,26712,2021-12-21 16:42:19
NA,34,NA,19145,5667,27631,2021-12-21 16:42:19
NA,35,NA,19121,3744,17540,2021-12-21 16:42:19
NA,36,NA,19107,3143,10381,2021-12-21 16:42:19
NA,37,NA,19150,2202,11561,2021-12-21 16:42:19
NA,38,NA,19131,3913,17849,2021-12-21 16:42:19
NA,39,NA,19102,1366,3705,2021-12-21 16:42:19
NA,40,NA,19148,7034,32547,2021-12-21 16:42:19
NA,41,NA,19115,3723,18105,2021-12-21 16:42:19
NA,42,NA,19136,3558,17462,2021-12-21 16:42:19
NA,43,NA,19103,5592,16246,2021-12-21 16:42:19
NA,44,NA,19106,2525,7685,2021-12-21 16:42:19
NA,45,NA,19141,2805,13230,2021-12-21 16:42:19
NA,46,NA,19137,847,3844,2021-12-21 16:42:19
