the_geom,cartodb_id,the_geom_webmercator,zip_code,partially_vaccinated,fully_vaccinated,etl_timestamp
NA,1,NA,19138,2625,12320,2021-10-07 15:00:01
NA,2,NA,19125,2352,13746,2021-10-07 15:00:01
NA,3,NA,19144,3708,17424,2021-10-07 15:00:01
NA,4,NA,19152,3597,17612,2021-10-07 15:00:01
NA,5,NA,19153,941,5117,2021-10-07 15:00:01
NA,6,NA,19133,2571,10183,2021-10-07 15:00:01
NA,7,NA,19126,1352,6640,2021-10-07 15:00:01
NA,8,NA,19119,2447,13477,2021-10-07 15:00:01
NA,9,NA,19120,6436,28001,2021-10-07 15:00:01
NA,10,NA,19128,3180,16783,2021-10-07 15:00:01
NA,11,NA,19104,4975,25858,2021-10-07 15:00:01
NA,12,NA,19127,455,2807,2021-10-07 15:00:01
NA,13,NA,19149,7157,27491,2021-10-07 15:00:01
NA,14,NA,19143,4983,27086,2021-10-07 15:00:01
NA,15,NA,19146,3626,24222,2021-10-07 15:00:01
NA,16,NA,19135,2664,13576,2021-10-07 15:00:01
NA,17,NA,19151,2146,11021,2021-10-07 15:00:01
NA,18,NA,19154,2336,14742,2021-10-07 15:00:01
NA,19,NA,19132,3022,12882,2021-10-07 15:00:01
NA,20,NA,19111,5679,29765,2021-10-07 15:00:01
NA,21,NA,19114,2361,14824,2021-10-07 15:00:01
NA,22,NA,19147,4066,23975,2021-10-07 15:00:01
NA,23,NA,19139,3478,16457,2021-10-07 15:00:01
NA,24,NA,19124,5845,27434,2021-10-07 15:00:01
NA,25,NA,19142,2466,10588,2021-10-07 15:00:01
NA,26,NA,19118,747,4648,2021-10-07 15:00:01
NA,27,NA,19122,2073,10549,2021-10-07 15:00:01
NA,28,NA,19123,2332,9754,2021-10-07 15:00:01
NA,29,NA,19130,3672,15852,2021-10-07 15:00:01
NA,30,NA,19116,2318,13728,2021-10-07 15:00:01
NA,31,NA,19129,1184,5340,2021-10-07 15:00:01
NA,32,NA,19140,4766,21096,2021-10-07 15:00:01
NA,33,NA,19134,5213,23360,2021-10-07 15:00:01
NA,34,NA,19145,4411,25129,2021-10-07 15:00:01
NA,35,NA,19121,3258,15547,2021-10-07 15:00:01
NA,36,NA,19107,2045,9897,2021-10-07 15:00:01
NA,37,NA,19150,1762,10534,2021-10-07 15:00:01
NA,38,NA,19131,3131,15956,2021-10-07 15:00:01
NA,39,NA,19102,841,3628,2021-10-07 15:00:01
NA,40,NA,19148,5613,29855,2021-10-07 15:00:01
NA,41,NA,19115,2655,16828,2021-10-07 15:00:01
NA,42,NA,19136,2967,15781,2021-10-07 15:00:01
NA,43,NA,19103,3092,15762,2021-10-07 15:00:01
NA,44,NA,19106,1791,7288,2021-10-07 15:00:01
NA,45,NA,19141,2481,11346,2021-10-07 15:00:01
NA,46,NA,19137,809,3427,2021-10-07 15:00:01
