the_geom,cartodb_id,the_geom_webmercator,zip_code,partially_vaccinated,fully_vaccinated,etl_timestamp
NA,1,NA,19138,2623,12387,2021-10-12 15:00:01
NA,2,NA,19125,2365,13756,2021-10-12 15:00:01
NA,3,NA,19144,3714,17482,2021-10-12 15:00:01
NA,4,NA,19152,3609,17669,2021-10-12 15:00:01
NA,5,NA,19153,942,5122,2021-10-12 15:00:01
NA,6,NA,19133,2581,10252,2021-10-12 15:00:01
NA,7,NA,19126,1348,6671,2021-10-12 15:00:01
NA,8,NA,19119,2468,13510,2021-10-12 15:00:01
NA,9,NA,19120,6420,28184,2021-10-12 15:00:01
NA,10,NA,19128,3195,16809,2021-10-12 15:00:01
NA,11,NA,19104,4976,25930,2021-10-12 15:00:01
NA,12,NA,19127,456,2817,2021-10-12 15:00:01
NA,13,NA,19149,7154,27639,2021-10-12 15:00:01
NA,14,NA,19143,4975,27173,2021-10-12 15:00:01
NA,15,NA,19146,3658,24287,2021-10-12 15:00:01
NA,16,NA,19135,2647,13661,2021-10-12 15:00:01
NA,17,NA,19151,2143,11072,2021-10-12 15:00:01
NA,18,NA,19154,2336,14788,2021-10-12 15:00:01
NA,19,NA,19132,3019,12973,2021-10-12 15:00:01
NA,20,NA,19111,5690,29880,2021-10-12 15:00:01
NA,21,NA,19114,2363,14882,2021-10-12 15:00:01
NA,22,NA,19147,4072,24016,2021-10-12 15:00:01
NA,23,NA,19139,3472,16557,2021-10-12 15:00:01
NA,24,NA,19124,5812,27659,2021-10-12 15:00:01
NA,25,NA,19142,2482,10655,2021-10-12 15:00:01
NA,26,NA,19118,757,4643,2021-10-12 15:00:01
NA,27,NA,19122,2050,10626,2021-10-12 15:00:01
NA,28,NA,19123,2336,9754,2021-10-12 15:00:01
NA,29,NA,19130,3670,15842,2021-10-12 15:00:01
NA,30,NA,19116,2337,13781,2021-10-12 15:00:01
NA,31,NA,19129,1181,5349,2021-10-12 15:00:01
NA,32,NA,19140,4772,21228,2021-10-12 15:00:01
NA,33,NA,19134,5199,23483,2021-10-12 15:00:01
NA,34,NA,19145,4401,25226,2021-10-12 15:00:01
NA,35,NA,19121,3232,15656,2021-10-12 15:00:01
NA,36,NA,19107,2058,9912,2021-10-12 15:00:01
NA,37,NA,19150,1767,10581,2021-10-12 15:00:01
NA,38,NA,19131,3123,16017,2021-10-12 15:00:01
NA,39,NA,19102,848,3632,2021-10-12 15:00:01
NA,40,NA,19148,5591,29962,2021-10-12 15:00:01
NA,41,NA,19115,2674,16873,2021-10-12 15:00:01
NA,42,NA,19136,2981,15845,2021-10-12 15:00:01
NA,43,NA,19103,3109,15750,2021-10-12 15:00:01
NA,44,NA,19106,1809,7287,2021-10-12 15:00:01
NA,45,NA,19141,2495,11404,2021-10-12 15:00:01
NA,46,NA,19137,808,3434,2021-10-12 15:00:01
