the_geom,cartodb_id,the_geom_webmercator,zip_code,partially_vaccinated,fully_vaccinated,etl_timestamp
NA,1,NA,19138,2523,11760,2021-09-08 15:00:01
NA,2,NA,19125,2422,13381,2021-09-08 15:00:01
NA,3,NA,19144,3662,16699,2021-09-08 15:00:01
NA,4,NA,19152,3731,16934,2021-09-08 15:00:01
NA,5,NA,19153,936,4885,2021-09-08 15:00:01
NA,6,NA,19133,2549,9533,2021-09-08 15:00:01
NA,7,NA,19126,1331,6404,2021-09-08 15:00:01
NA,8,NA,19119,2435,13161,2021-09-08 15:00:01
NA,9,NA,19120,6569,26275,2021-09-08 15:00:01
NA,10,NA,19128,3192,16309,2021-09-08 15:00:01
NA,11,NA,19104,4977,25081,2021-09-08 15:00:01
NA,12,NA,19127,472,2761,2021-09-08 15:00:01
NA,13,NA,19149,7504,25924,2021-09-08 15:00:01
NA,14,NA,19143,4812,26014,2021-09-08 15:00:01
NA,15,NA,19146,3560,23490,2021-09-08 15:00:01
NA,16,NA,19135,2769,12824,2021-09-08 15:00:01
NA,17,NA,19151,2098,10501,2021-09-08 15:00:01
NA,18,NA,19154,2426,14178,2021-09-08 15:00:01
NA,19,NA,19132,2920,12034,2021-09-08 15:00:01
NA,20,NA,19111,5865,28419,2021-09-08 15:00:01
NA,21,NA,19114,2430,14291,2021-09-08 15:00:01
NA,22,NA,19147,4095,23368,2021-09-08 15:00:01
NA,23,NA,19139,3276,15606,2021-09-08 15:00:01
NA,24,NA,19124,5944,25636,2021-09-08 15:00:01
NA,25,NA,19142,2415,9982,2021-09-08 15:00:01
NA,26,NA,19118,741,4584,2021-09-08 15:00:01
NA,27,NA,19122,2103,10080,2021-09-08 15:00:01
NA,28,NA,19123,2399,9484,2021-09-08 15:00:01
NA,29,NA,19130,3709,15552,2021-09-08 15:00:01
NA,30,NA,19116,2378,13145,2021-09-08 15:00:01
NA,31,NA,19129,1209,5252,2021-09-08 15:00:01
NA,32,NA,19140,4788,19878,2021-09-08 15:00:01
NA,33,NA,19134,5281,22016,2021-09-08 15:00:01
NA,34,NA,19145,4524,23993,2021-09-08 15:00:01
NA,35,NA,19121,3185,14758,2021-09-08 15:00:01
NA,36,NA,19107,2030,9768,2021-09-08 15:00:01
NA,37,NA,19150,1811,10132,2021-09-08 15:00:01
NA,38,NA,19131,3177,15217,2021-09-08 15:00:01
NA,39,NA,19102,806,3579,2021-09-08 15:00:01
NA,40,NA,19148,5903,28676,2021-09-08 15:00:01
NA,41,NA,19115,2786,16306,2021-09-08 15:00:01
NA,42,NA,19136,3140,14962,2021-09-08 15:00:01
NA,43,NA,19103,3030,15565,2021-09-08 15:00:01
NA,44,NA,19106,1705,7143,2021-09-08 15:00:01
NA,45,NA,19141,2451,10681,2021-09-08 15:00:01
NA,46,NA,19137,833,3231,2021-09-08 15:00:01
