the_geom,cartodb_id,the_geom_webmercator,zip_code,partially_vaccinated,fully_vaccinated,etl_timestamp,population,county,state,date,mmwr_year,mmwr_week,mmwr_day,year_week
NA,1,NA,19138,2380,9534,2021-06-17 17:20:02,32273,Philadelphia County,PA,2021-06-17,2021,24,5,2021 - 24
NA,2,NA,19125,2381,12017,2021-06-17 17:20:02,22958,Philadelphia County,PA,2021-06-17,2021,24,5,2021 - 24
NA,3,NA,19144,3460,13809,2021-06-17 17:20:02,43329,Philadelphia County,PA,2021-06-17,2021,24,5,2021 - 24
NA,4,NA,19152,3796,13729,2021-06-17 17:20:02,33293,Philadelphia County,PA,2021-06-17,2021,24,5,2021 - 24
NA,5,NA,19153,938,4002,2021-06-17 17:20:02,12259,Philadelphia County,PA,2021-06-17,2021,24,5,2021 - 24
NA,6,NA,19133,2715,6738,2021-06-17 17:20:02,26063,Philadelphia County,PA,2021-06-17,2021,24,5,2021 - 24
NA,7,NA,19126,1306,5391,2021-06-17 17:20:02,15758,Philadelphia County,PA,2021-06-17,2021,24,5,2021 - 24
NA,8,NA,19119,2589,11574,2021-06-17 17:20:02,27035,Philadelphia County,PA,2021-06-17,2021,24,5,2021 - 24
NA,9,NA,19120,6458,19809,2021-06-17 17:20:02,68104,Philadelphia County,PA,2021-06-17,2021,24,5,2021 - 24
NA,10,NA,19128,3366,14337,2021-06-17 17:20:02,35239,Philadelphia County,PA,2021-06-17,2021,24,5,2021 - 24
NA,11,NA,19104,4591,22685,2021-06-17 17:20:02,51808,Philadelphia County,PA,2021-06-17,2021,24,5,2021 - 24
NA,12,NA,19127,486,2541,2021-06-17 17:20:02,5913,Philadelphia County,PA,2021-06-17,2021,24,5,2021 - 24
NA,13,NA,19149,7059,19116,2021-06-17 17:20:02,55006,Philadelphia County,PA,2021-06-17,2021,24,5,2021 - 24
NA,14,NA,19143,4548,21970,2021-06-17 17:20:02,64849,Philadelphia County,PA,2021-06-17,2021,24,5,2021 - 24
NA,15,NA,19146,3464,20097,2021-06-17 17:20:02,35113,Philadelphia County,PA,2021-06-17,2021,24,5,2021 - 24
NA,16,NA,19135,2536,9607,2021-06-17 17:20:02,33091,Philadelphia County,PA,2021-06-17,2021,24,5,2021 - 24
NA,17,NA,19151,2001,8653,2021-06-17 17:20:02,29883,Philadelphia County,PA,2021-06-17,2021,24,5,2021 - 24
NA,18,NA,19154,2420,12312,2021-06-17 17:20:02,34196,Philadelphia County,PA,2021-06-17,2021,24,5,2021 - 24
NA,19,NA,19132,2609,9438,2021-06-17 17:20:02,36268,Philadelphia County,PA,2021-06-17,2021,24,5,2021 - 24
NA,20,NA,19111,5863,22524,2021-06-17 17:20:02,63090,Philadelphia County,PA,2021-06-17,2021,24,5,2021 - 24
NA,21,NA,19114,2399,12164,2021-06-17 17:20:02,30907,Philadelphia County,PA,2021-06-17,2021,24,5,2021 - 24
NA,22,NA,19147,3979,21319,2021-06-17 17:20:02,36228,Philadelphia County,PA,2021-06-17,2021,24,5,2021 - 24
NA,23,NA,19139,2972,12795,2021-06-17 17:20:02,41271,Philadelphia County,PA,2021-06-17,2021,24,5,2021 - 24
NA,24,NA,19124,5806,18791,2021-06-17 17:20:02,66691,Philadelphia County,PA,2021-06-17,2021,24,5,2021 - 24
NA,25,NA,19142,2278,7482,2021-06-17 17:20:02,29595,Philadelphia County,PA,2021-06-17,2021,24,5,2021 - 24
NA,26,NA,19118,882,4192,2021-06-17 17:20:02,9808,Philadelphia County,PA,2021-06-17,2021,24,5,2021 - 24
